Epoch 1 - Train Loss: 4.8098 (vdw: 0.3021, elec: 0.2708, solv: 0.2821, hbond: 0.5397, inactive: 0.0037, affinity: 1.1540, rank: 2.2573) | Validation Loss: 2.4212 (vdw: 0.2915, elec: 0.2566, solv: 0.1762, hbond: 0.4408, inactive: 0.0033, affinity: 0.4674, rank: 0.7854) | LR: 5.0e-03
Epoch 2 - Train Loss: 2.4726 (vdw: 0.2813, elec: 0.2644, solv: 0.1880, hbond: 0.4331, inactive: 0.0040, affinity: 0.3586, rank: 0.9431) | Validation Loss: 2.3772 (vdw: 0.2900, elec: 0.2555, solv: 0.1812, hbond: 0.4394, inactive: 0.0032, affinity: 0.5844, rank: 0.6236) | LR: 5.0e-03
Epoch 3 - Train Loss: 2.5005 (vdw: 0.2895, elec: 0.2648, solv: 0.1688, hbond: 0.4291, inactive: 0.0030, affinity: 0.4307, rank: 0.9146) | Validation Loss: 2.3661 (vdw: 0.2897, elec: 0.2537, solv: 0.1933, hbond: 0.4360, inactive: 0.0036, affinity: 0.5798, rank: 0.6100) | LR: 5.0e-03
Epoch 4 - Train Loss: 3.1599 (vdw: 0.2861, elec: 0.2622, solv: 0.2141, hbond: 0.4471, inactive: 0.0039, affinity: 0.6300, rank: 1.3164) | Validation Loss: 2.3078 (vdw: 0.2906, elec: 0.2539, solv: 0.1898, hbond: 0.4447, inactive: 0.0033, affinity: 0.3802, rank: 0.7454) | LR: 5.0e-03
Epoch 5 - Train Loss: 2.6349 (vdw: 0.2973, elec: 0.2673, solv: 0.1848, hbond: 0.3746, inactive: 0.0032, affinity: 0.3357, rank: 1.1719) | Validation Loss: 2.4249 (vdw: 0.2894, elec: 0.2541, solv: 0.1788, hbond: 0.4437, inactive: 0.0024, affinity: 0.6573, rank: 0.5991) | LR: 5.0e-03
Epoch 6 - Train Loss: 2.4580 (vdw: 0.2941, elec: 0.2559, solv: 0.1744, hbond: 0.3885, inactive: 0.0029, affinity: 0.4074, rank: 0.9348) | Validation Loss: 2.3272 (vdw: 0.2894, elec: 0.2536, solv: 0.1797, hbond: 0.4552, inactive: 0.0030, affinity: 0.5524, rank: 0.5938) | LR: 5.0e-03
Epoch 7 - Train Loss: 2.7302 (vdw: 0.2830, elec: 0.2488, solv: 0.1829, hbond: 0.3920, inactive: 0.0030, affinity: 0.4122, rank: 1.2082) | Validation Loss: 2.6297 (vdw: 0.2895, elec: 0.2527, solv: 0.1781, hbond: 0.4360, inactive: 0.0033, affinity: 0.1981, rank: 1.2721) | LR: 5.0e-03
Epoch 8 - Train Loss: 2.6302 (vdw: 0.2806, elec: 0.2528, solv: 0.1830, hbond: 0.4504, inactive: 0.0027, affinity: 0.4451, rank: 1.0157) | Validation Loss: 2.5967 (vdw: 0.2891, elec: 0.2531, solv: 0.2158, hbond: 0.4403, inactive: 0.0027, affinity: 0.1993, rank: 1.1963) | LR: 5.0e-03
Epoch 9 - Train Loss: 2.4720 (vdw: 0.2895, elec: 0.2618, solv: 0.1867, hbond: 0.3782, inactive: 0.0026, affinity: 0.3812, rank: 0.9720) | Validation Loss: 2.4202 (vdw: 0.2894, elec: 0.2523, solv: 0.1724, hbond: 0.4506, inactive: 0.0036, affinity: 0.6447, rank: 0.6072) | LR: 5.0e-03
Epoch 10 - Train Loss: 2.5147 (vdw: 0.3074, elec: 0.2798, solv: 0.1592, hbond: 0.4488, inactive: 0.0026, affinity: 0.4713, rank: 0.8457) | Validation Loss: 2.3538 (vdw: 0.2891, elec: 0.2517, solv: 0.1450, hbond: 0.4433, inactive: 0.0018, affinity: 0.5846, rank: 0.6382) | LR: 2.5e-03
