Epoch 1 - Train Loss: 1.1510 (vdw: 0.3383, elec: 0.2747, solv: 0.2113, hbond: 0.3221, inactive: 0.0046) | Validation Loss: 1.2250 (vdw: 0.3378, elec: 0.2709, solv: 0.2065, hbond: 0.4030, inactive: 0.0068) | LR: 1.0e-03
Epoch 2 - Train Loss: 1.0456 (vdw: 0.3309, elec: 0.2644, solv: 0.1721, hbond: 0.2732, inactive: 0.0051) | Validation Loss: 1.1464 (vdw: 0.3366, elec: 0.2669, solv: 0.1665, hbond: 0.3715, inactive: 0.0050) | LR: 1.0e-03
Epoch 3 - Train Loss: 1.0503 (vdw: 0.3413, elec: 0.2753, solv: 0.1374, hbond: 0.2913, inactive: 0.0050) | Validation Loss: 1.0930 (vdw: 0.3353, elec: 0.2654, solv: 0.1303, hbond: 0.3581, inactive: 0.0039) | LR: 1.0e-03
Epoch 4 - Train Loss: 1.0017 (vdw: 0.3419, elec: 0.2716, solv: 0.1080, hbond: 0.2775, inactive: 0.0027) | Validation Loss: 1.1139 (vdw: 0.3339, elec: 0.2652, solv: 0.1022, hbond: 0.4106, inactive: 0.0019) | LR: 1.0e-03
Epoch 5 - Train Loss: 0.9673 (vdw: 0.3209, elec: 0.2624, solv: 0.0926, hbond: 0.2879, inactive: 0.0036) | Validation Loss: 1.0735 (vdw: 0.3331, elec: 0.2638, solv: 0.0878, hbond: 0.3859, inactive: 0.0030) | LR: 1.0e-03
Epoch 6 - Train Loss: 0.9320 (vdw: 0.3292, elec: 0.2666, solv: 0.0839, hbond: 0.2502, inactive: 0.0021) | Validation Loss: 1.0749 (vdw: 0.3329, elec: 0.2640, solv: 0.0834, hbond: 0.3925, inactive: 0.0021) | LR: 1.0e-03
Epoch 7 - Train Loss: 0.9120 (vdw: 0.3339, elec: 0.2577, solv: 0.0765, hbond: 0.2415, inactive: 0.0024) | Validation Loss: 1.0737 (vdw: 0.3318, elec: 0.2643, solv: 0.0731, hbond: 0.4021, inactive: 0.0025) | LR: 1.0e-03
Epoch 8 - Train Loss: 0.9504 (vdw: 0.3420, elec: 0.2738, solv: 0.0743, hbond: 0.2580, inactive: 0.0024) | Validation Loss: 1.0767 (vdw: 0.3314, elec: 0.2628, solv: 0.0761, hbond: 0.4039, inactive: 0.0024) | LR: 1.0e-03
Epoch 9 - Train Loss: 0.9334 (vdw: 0.3110, elec: 0.2526, solv: 0.0726, hbond: 0.2953, inactive: 0.0019) | Validation Loss: 1.0579 (vdw: 0.3315, elec: 0.2627, solv: 0.0748, hbond: 0.3868, inactive: 0.0022) | LR: 1.0e-03
Epoch 10 - Train Loss: 0.9811 (vdw: 0.3309, elec: 0.2616, solv: 0.0694, hbond: 0.3168, inactive: 0.0023) | Validation Loss: 1.0345 (vdw: 0.3314, elec: 0.2637, solv: 0.0688, hbond: 0.3681, inactive: 0.0025) | LR: 1.0e-03
Epoch 11 - Train Loss: 0.9797 (vdw: 0.3335, elec: 0.2615, solv: 0.0667, hbond: 0.3162, inactive: 0.0018) | Validation Loss: 1.0534 (vdw: 0.3310, elec: 0.2635, solv: 0.0685, hbond: 0.3886, inactive: 0.0018) | LR: 1.0e-03
Epoch 12 - Train Loss: 0.9913 (vdw: 0.3348, elec: 0.2705, solv: 0.0661, hbond: 0.3181, inactive: 0.0019) | Validation Loss: 1.0153 (vdw: 0.3315, elec: 0.2623, solv: 0.0671, hbond: 0.3515, inactive: 0.0030) | LR: 1.0e-03
Epoch 13 - Train Loss: 0.9331 (vdw: 0.3302, elec: 0.2602, solv: 0.0619, hbond: 0.2778, inactive: 0.0030) | Validation Loss: 1.0354 (vdw: 0.3330, elec: 0.2626, solv: 0.0656, hbond: 0.3723, inactive: 0.0017) | LR: 1.0e-03
Epoch 14 - Train Loss: 0.9653 (vdw: 0.3350, elec: 0.2772, solv: 0.0626, hbond: 0.2887, inactive: 0.0018) | Validation Loss: 1.0416 (vdw: 0.3311, elec: 0.2623, solv: 0.0613, hbond: 0.3848, inactive: 0.0019) | LR: 1.0e-03
Epoch 15 - Train Loss: 0.9357 (vdw: 0.3301, elec: 0.2620, solv: 0.0621, hbond: 0.2800, inactive: 0.0016) | Validation Loss: 1.0350 (vdw: 0.3309, elec: 0.2622, solv: 0.0630, hbond: 0.3772, inactive: 0.0016) | LR: 1.0e-03
Epoch 16 - Train Loss: 0.9036 (vdw: 0.3253, elec: 0.2534, solv: 0.0581, hbond: 0.2649, inactive: 0.0019) | Validation Loss: 1.0279 (vdw: 0.3308, elec: 0.2617, solv: 0.0600, hbond: 0.3738, inactive: 0.0017) | LR: 1.0e-03
Epoch 17 - Train Loss: 0.8975 (vdw: 0.3140, elec: 0.2501, solv: 0.0579, hbond: 0.2725, inactive: 0.0030) | Validation Loss: 1.0075 (vdw: 0.3307, elec: 0.2616, solv: 0.0576, hbond: 0.3550, inactive: 0.0026) | LR: 1.0e-03
Epoch 18 - Train Loss: 0.9745 (vdw: 0.3239, elec: 0.2502, solv: 0.0589, hbond: 0.3399, inactive: 0.0018) | Validation Loss: 1.0543 (vdw: 0.3307, elec: 0.2615, solv: 0.0594, hbond: 0.4011, inactive: 0.0017) | LR: 1.0e-03
Epoch 19 - Train Loss: 0.9217 (vdw: 0.3216, elec: 0.2555, solv: 0.0629, hbond: 0.2799, inactive: 0.0018) | Validation Loss: 1.0290 (vdw: 0.3304, elec: 0.2615, solv: 0.0611, hbond: 0.3738, inactive: 0.0023) | LR: 1.0e-03
Epoch 20 - Train Loss: 0.9487 (vdw: 0.3300, elec: 0.2636, solv: 0.0579, hbond: 0.2946, inactive: 0.0027) | Validation Loss: 1.0486 (vdw: 0.3308, elec: 0.2615, solv: 0.0577, hbond: 0.3959, inactive: 0.0027) | LR: 1.0e-03
Epoch 21 - Train Loss: 0.9289 (vdw: 0.3213, elec: 0.2630, solv: 0.0563, hbond: 0.2867, inactive: 0.0017) | Validation Loss: 1.0154 (vdw: 0.3305, elec: 0.2614, solv: 0.0564, hbond: 0.3656, inactive: 0.0014) | LR: 1.0e-03
Epoch 22 - Train Loss: 0.8969 (vdw: 0.3290, elec: 0.2558, solv: 0.0553, hbond: 0.2548, inactive: 0.0020) | Validation Loss: 1.0068 (vdw: 0.3303, elec: 0.2611, solv: 0.0578, hbond: 0.3554, inactive: 0.0021) | LR: 1.0e-03
Epoch 23 - Train Loss: 0.9394 (vdw: 0.3331, elec: 0.2712, solv: 0.0554, hbond: 0.2778, inactive: 0.0019) | Validation Loss: 1.0217 (vdw: 0.3304, elec: 0.2614, solv: 0.0544, hbond: 0.3739, inactive: 0.0016) | LR: 1.0e-03
Epoch 24 - Train Loss: 0.9374 (vdw: 0.3144, elec: 0.2370, solv: 0.0536, hbond: 0.3310, inactive: 0.0013) | Validation Loss: 1.0191 (vdw: 0.3309, elec: 0.2615, solv: 0.0542, hbond: 0.3707, inactive: 0.0017) | LR: 1.0e-03
Epoch 25 - Train Loss: 0.9564 (vdw: 0.3221, elec: 0.2522, solv: 0.0547, hbond: 0.3257, inactive: 0.0018) | Validation Loss: 1.0174 (vdw: 0.3304, elec: 0.2615, solv: 0.0545, hbond: 0.3693, inactive: 0.0016) | LR: 1.0e-03
Epoch 26 - Train Loss: 0.9263 (vdw: 0.3349, elec: 0.2688, solv: 0.0535, hbond: 0.2674, inactive: 0.0018) | Validation Loss: 1.0232 (vdw: 0.3302, elec: 0.2614, solv: 0.0551, hbond: 0.3750, inactive: 0.0015) | LR: 1.0e-03
Epoch 27 - Train Loss: 0.8858 (vdw: 0.3299, elec: 0.2554, solv: 0.0546, hbond: 0.2437, inactive: 0.0021) | Validation Loss: 1.0083 (vdw: 0.3299, elec: 0.2612, solv: 0.0517, hbond: 0.3633, inactive: 0.0020) | LR: 1.0e-03
Epoch 28 - Train Loss: 0.9376 (vdw: 0.3376, elec: 0.2657, solv: 0.0535, hbond: 0.2786, inactive: 0.0022) | Validation Loss: 1.0302 (vdw: 0.3300, elec: 0.2611, solv: 0.0530, hbond: 0.3837, inactive: 0.0024) | LR: 1.0e-03
Epoch 29 - Train Loss: 0.9696 (vdw: 0.3341, elec: 0.2615, solv: 0.0543, hbond: 0.3176, inactive: 0.0021) | Validation Loss: 1.0018 (vdw: 0.3301, elec: 0.2609, solv: 0.0538, hbond: 0.3550, inactive: 0.0020) | LR: 1.0e-03
Epoch 30 - Train Loss: 0.9563 (vdw: 0.3377, elec: 0.2659, solv: 0.0521, hbond: 0.2988, inactive: 0.0018) | Validation Loss: 1.0043 (vdw: 0.3301, elec: 0.2608, solv: 0.0518, hbond: 0.3597, inactive: 0.0019) | LR: 1.0e-03
Epoch 31 - Train Loss: 0.9195 (vdw: 0.3314, elec: 0.2669, solv: 0.0534, hbond: 0.2658, inactive: 0.0020) | Validation Loss: 1.0515 (vdw: 0.3302, elec: 0.2607, solv: 0.0523, hbond: 0.4061, inactive: 0.0022) | LR: 1.0e-03
Epoch 32 - Train Loss: 1.0080 (vdw: 0.3342, elec: 0.2601, solv: 0.0513, hbond: 0.3607, inactive: 0.0017) | Validation Loss: 1.0054 (vdw: 0.3303, elec: 0.2608, solv: 0.0520, hbond: 0.3605, inactive: 0.0018) | LR: 1.0e-03
Epoch 33 - Train Loss: 0.9172 (vdw: 0.3322, elec: 0.2648, solv: 0.0501, hbond: 0.2681, inactive: 0.0020) | Validation Loss: 0.9951 (vdw: 0.3300, elec: 0.2617, solv: 0.0498, hbond: 0.3513, inactive: 0.0022) | LR: 1.0e-03
Epoch 34 - Train Loss: 0.9190 (vdw: 0.3408, elec: 0.2692, solv: 0.0512, hbond: 0.2560, inactive: 0.0019) | Validation Loss: 0.9971 (vdw: 0.3298, elec: 0.2606, solv: 0.0490, hbond: 0.3556, inactive: 0.0020) | LR: 1.0e-03
Epoch 35 - Train Loss: 0.9415 (vdw: 0.3348, elec: 0.2693, solv: 0.0510, hbond: 0.2844, inactive: 0.0019) | Validation Loss: 1.0122 (vdw: 0.3299, elec: 0.2605, solv: 0.0497, hbond: 0.3701, inactive: 0.0020) | LR: 1.0e-03
Epoch 36 - Train Loss: 0.9158 (vdw: 0.3240, elec: 0.2567, solv: 0.0485, hbond: 0.2850, inactive: 0.0015) | Validation Loss: 1.0126 (vdw: 0.3301, elec: 0.2603, solv: 0.0485, hbond: 0.3723, inactive: 0.0014) | LR: 1.0e-03
Epoch 37 - Train Loss: 0.9309 (vdw: 0.3338, elec: 0.2614, solv: 0.0479, hbond: 0.2852, inactive: 0.0025) | Validation Loss: 1.0099 (vdw: 0.3297, elec: 0.2604, solv: 0.0483, hbond: 0.3689, inactive: 0.0025) | LR: 1.0e-03
Epoch 38 - Train Loss: 0.9135 (vdw: 0.3258, elec: 0.2618, solv: 0.0491, hbond: 0.2752, inactive: 0.0017) | Validation Loss: 0.9952 (vdw: 0.3299, elec: 0.2599, solv: 0.0484, hbond: 0.3554, inactive: 0.0015) | LR: 1.0e-03
Epoch 39 - Train Loss: 0.9356 (vdw: 0.3158, elec: 0.2455, solv: 0.0506, hbond: 0.3220, inactive: 0.0017) | Validation Loss: 1.0042 (vdw: 0.3295, elec: 0.2599, solv: 0.0484, hbond: 0.3648, inactive: 0.0016) | LR: 1.0e-03
Epoch 40 - Train Loss: 0.9213 (vdw: 0.3297, elec: 0.2541, solv: 0.0476, hbond: 0.2883, inactive: 0.0016) | Validation Loss: 0.9975 (vdw: 0.3297, elec: 0.2600, solv: 0.0506, hbond: 0.3558, inactive: 0.0014) | LR: 1.0e-03
Epoch 41 - Train Loss: 0.9148 (vdw: 0.3280, elec: 0.2752, solv: 0.0490, hbond: 0.2610, inactive: 0.0016) | Validation Loss: 0.9905 (vdw: 0.3297, elec: 0.2600, solv: 0.0499, hbond: 0.3493, inactive: 0.0016) | LR: 1.0e-03
Epoch 42 - Train Loss: 0.9204 (vdw: 0.3347, elec: 0.2707, solv: 0.0497, hbond: 0.2639, inactive: 0.0014) | Validation Loss: 0.9981 (vdw: 0.3295, elec: 0.2596, solv: 0.0546, hbond: 0.3531, inactive: 0.0013) | LR: 1.0e-03
Epoch 43 - Train Loss: 0.9586 (vdw: 0.3336, elec: 0.2650, solv: 0.0490, hbond: 0.3089, inactive: 0.0020) | Validation Loss: 0.9971 (vdw: 0.3296, elec: 0.2596, solv: 0.0473, hbond: 0.3585, inactive: 0.0021) | LR: 1.0e-03
Epoch 44 - Train Loss: 0.9947 (vdw: 0.3384, elec: 0.2734, solv: 0.0499, hbond: 0.3317, inactive: 0.0013) | Validation Loss: 0.9962 (vdw: 0.3297, elec: 0.2610, solv: 0.0487, hbond: 0.3552, inactive: 0.0016) | LR: 1.0e-03
Epoch 45 - Train Loss: 0.8829 (vdw: 0.3417, elec: 0.2720, solv: 0.0467, hbond: 0.2210, inactive: 0.0014) | Validation Loss: 1.0022 (vdw: 0.3297, elec: 0.2601, solv: 0.0456, hbond: 0.3656, inactive: 0.0012) | LR: 1.0e-03
Epoch 46 - Train Loss: 0.9295 (vdw: 0.3236, elec: 0.2550, solv: 0.0468, hbond: 0.3026, inactive: 0.0014) | Validation Loss: 0.9939 (vdw: 0.3297, elec: 0.2599, solv: 0.0483, hbond: 0.3545, inactive: 0.0014) | LR: 1.0e-03
