Epoch 1 - Train Loss: 1.1687 (vdw: 0.1482, elec: 0.2879, solv: 0.2409, hbond: 0.4639, inactive: 0.0278) | Validation Loss: 1.1017 (vdw: 0.1410, elec: 0.2693, solv: 0.1926, hbond: 0.4676, inactive: 0.0312) | LR: 1.0e-03
Epoch 2 - Train Loss: 1.0493 (vdw: 0.1551, elec: 0.2902, solv: 0.1498, hbond: 0.4365, inactive: 0.0177) | Validation Loss: 0.9847 (vdw: 0.1493, elec: 0.2820, solv: 0.1429, hbond: 0.3974, inactive: 0.0130) | LR: 1.0e-03
Epoch 3 - Train Loss: 0.9031 (vdw: 0.1506, elec: 0.2821, solv: 0.1260, hbond: 0.3350, inactive: 0.0093) | Validation Loss: 0.9204 (vdw: 0.1494, elec: 0.2859, solv: 0.1162, hbond: 0.3624, inactive: 0.0065) | LR: 1.0e-03
Epoch 4 - Train Loss: 0.9039 (vdw: 0.1415, elec: 0.2797, solv: 0.1068, hbond: 0.3678, inactive: 0.0081) | Validation Loss: 0.9454 (vdw: 0.1469, elec: 0.2768, solv: 0.1023, hbond: 0.4107, inactive: 0.0087) | LR: 1.0e-03
Epoch 5 - Train Loss: 0.9141 (vdw: 0.1614, elec: 0.2944, solv: 0.1015, hbond: 0.3497, inactive: 0.0071) | Validation Loss: 0.8679 (vdw: 0.1694, elec: 0.2871, solv: 0.1065, hbond: 0.2993, inactive: 0.0057) | LR: 1.0e-03
Epoch 6 - Train Loss: 0.9454 (vdw: 0.1531, elec: 0.2853, solv: 0.0947, hbond: 0.4066, inactive: 0.0058) | Validation Loss: 0.8804 (vdw: 0.1492, elec: 0.2747, solv: 0.0944, hbond: 0.3520, inactive: 0.0103) | LR: 1.0e-03
Epoch 7 - Train Loss: 0.9423 (vdw: 0.1366, elec: 0.2708, solv: 0.0897, hbond: 0.4386, inactive: 0.0065) | Validation Loss: 0.8031 (vdw: 0.1619, elec: 0.2944, solv: 0.0921, hbond: 0.2475, inactive: 0.0072) | LR: 1.0e-03
Epoch 8 - Train Loss: 0.8797 (vdw: 0.1392, elec: 0.2739, solv: 0.0854, hbond: 0.3755, inactive: 0.0057) | Validation Loss: 0.9026 (vdw: 0.1507, elec: 0.2796, solv: 0.0887, hbond: 0.3780, inactive: 0.0056) | LR: 1.0e-03
Epoch 9 - Train Loss: 0.9091 (vdw: 0.1570, elec: 0.2926, solv: 0.0836, hbond: 0.3692, inactive: 0.0067) | Validation Loss: 0.8641 (vdw: 0.1645, elec: 0.2968, solv: 0.0818, hbond: 0.3147, inactive: 0.0063) | LR: 1.0e-03
Epoch 10 - Train Loss: 0.8425 (vdw: 0.1420, elec: 0.2764, solv: 0.0771, hbond: 0.3424, inactive: 0.0046) | Validation Loss: 1.0007 (vdw: 0.1353, elec: 0.2625, solv: 0.0774, hbond: 0.5224, inactive: 0.0031) | LR: 1.0e-03
Epoch 11 - Train Loss: 0.9029 (vdw: 0.1413, elec: 0.2738, solv: 0.0752, hbond: 0.4086, inactive: 0.0040) | Validation Loss: 0.9790 (vdw: 0.1626, elec: 0.2936, solv: 0.0735, hbond: 0.4454, inactive: 0.0038) | LR: 1.0e-03
Epoch 12 - Train Loss: 0.8608 (vdw: 0.1490, elec: 0.2828, solv: 0.0776, hbond: 0.3458, inactive: 0.0056) | Validation Loss: 0.8999 (vdw: 0.1384, elec: 0.2681, solv: 0.0756, hbond: 0.4125, inactive: 0.0052) | LR: 1.0e-03
