Epoch 1 - Train Loss: 210.9253 (vdw: 0.3392, elec: 0.2706, solv: 0.2533, hbond: 0.4812, inactive: 0.0045, affinity: 203.7513, rank: 5.8252) | Validation Loss: 6.8071 (vdw: 0.3361, elec: 0.2687, solv: 0.2152, hbond: 0.5933, inactive: 0.0103, affinity: 4.8145, rank: 0.5690) | LR: 1.0e-03
Epoch 2 - Train Loss: 4.6508 (vdw: 0.3371, elec: 0.2639, solv: 0.1957, hbond: 0.4663, inactive: 0.0046, affinity: 2.1094, rank: 1.2738) | Validation Loss: 6.4201 (vdw: 0.3340, elec: 0.2629, solv: 0.2285, hbond: 0.4986, inactive: 0.0030, affinity: 4.2678, rank: 0.8253) | LR: 1.0e-03
Epoch 3 - Train Loss: 3.7315 (vdw: 0.3373, elec: 0.2697, solv: 0.1794, hbond: 0.4215, inactive: 0.0036, affinity: 1.3876, rank: 1.1323) | Validation Loss: 3.4749 (vdw: 0.3333, elec: 0.2618, solv: 0.1558, hbond: 0.4216, inactive: 0.0043, affinity: 1.2588, rank: 1.0393) | LR: 1.0e-03
Epoch 4 - Train Loss: 3.8950 (vdw: 0.3344, elec: 0.2596, solv: 0.1551, hbond: 0.3992, inactive: 0.0036, affinity: 1.5382, rank: 1.2050) | Validation Loss: 4.3504 (vdw: 0.3315, elec: 0.2614, solv: 0.1409, hbond: 0.4234, inactive: 0.0035, affinity: 2.3937, rank: 0.7961) | LR: 1.0e-03
Epoch 5 - Train Loss: 3.3883 (vdw: 0.3359, elec: 0.2699, solv: 0.1208, hbond: 0.3936, inactive: 0.0038, affinity: 1.1994, rank: 1.0649) | Validation Loss: 3.8246 (vdw: 0.3307, elec: 0.2652, solv: 0.1125, hbond: 0.4187, inactive: 0.0041, affinity: 1.8018, rank: 0.8915) | LR: 1.0e-03
Epoch 6 - Train Loss: 2.8805 (vdw: 0.3377, elec: 0.2699, solv: 0.1273, hbond: 0.3809, inactive: 0.0034, affinity: 0.7868, rank: 0.9744) | Validation Loss: 2.8240 (vdw: 0.3306, elec: 0.2614, solv: 0.2098, hbond: 0.4199, inactive: 0.0027, affinity: 0.6672, rank: 0.9324) | LR: 1.0e-03
Epoch 7 - Train Loss: 2.6601 (vdw: 0.3390, elec: 0.2683, solv: 0.1581, hbond: 0.4001, inactive: 0.0029, affinity: 0.5703, rank: 0.9214) | Validation Loss: 2.9535 (vdw: 0.3306, elec: 0.2607, solv: 0.1268, hbond: 0.4186, inactive: 0.0030, affinity: 1.0198, rank: 0.7941) | LR: 1.0e-03
Epoch 8 - Train Loss: 2.8515 (vdw: 0.3317, elec: 0.2641, solv: 0.1170, hbond: 0.3977, inactive: 0.0041, affinity: 0.7345, rank: 1.0025) | Validation Loss: 4.0220 (vdw: 0.3305, elec: 0.2606, solv: 0.1245, hbond: 0.4195, inactive: 0.0035, affinity: 2.1337, rank: 0.7497) | LR: 1.0e-03
Epoch 9 - Train Loss: 3.1228 (vdw: 0.3341, elec: 0.2705, solv: 0.1466, hbond: 0.3999, inactive: 0.0041, affinity: 0.9675, rank: 1.0000) | Validation Loss: 7.5451 (vdw: 0.3314, elec: 0.2765, solv: 0.1735, hbond: 0.4311, inactive: 0.0052, affinity: 4.9571, rank: 1.3703) | LR: 1.0e-03
Epoch 10 - Train Loss: 2.4286 (vdw: 0.3304, elec: 0.2725, solv: 0.1072, hbond: 0.3765, inactive: 0.0032, affinity: 0.5559, rank: 0.7828) | Validation Loss: 3.5208 (vdw: 0.3300, elec: 0.2613, solv: 0.0896, hbond: 0.4245, inactive: 0.0041, affinity: 1.7295, rank: 0.6819) | LR: 1.0e-03
Epoch 11 - Train Loss: 2.5774 (vdw: 0.3316, elec: 0.2633, solv: 0.0921, hbond: 0.3924, inactive: 0.0034, affinity: 0.6760, rank: 0.8185) | Validation Loss: 9.3487 (vdw: 0.3304, elec: 0.2602, solv: 0.0896, hbond: 0.4212, inactive: 0.0027, affinity: 7.0970, rank: 1.1476) | LR: 1.0e-03
Epoch 12 - Train Loss: 2.9922 (vdw: 0.3288, elec: 0.2556, solv: 0.0781, hbond: 0.3890, inactive: 0.0034, affinity: 0.9851, rank: 0.9522) | Validation Loss: 5.8445 (vdw: 0.3299, elec: 0.2598, solv: 0.0758, hbond: 0.4180, inactive: 0.0032, affinity: 3.9272, rank: 0.8306) | LR: 5.0e-04
Epoch 13 - Train Loss: 2.3064 (vdw: 0.3345, elec: 0.2697, solv: 0.0730, hbond: 0.3935, inactive: 0.0032, affinity: 0.4385, rank: 0.7941) | Validation Loss: 3.8982 (vdw: 0.3298, elec: 0.2597, solv: 0.0736, hbond: 0.4166, inactive: 0.0034, affinity: 2.1113, rank: 0.7038) | LR: 5.0e-04
Epoch 14 - Train Loss: 2.6159 (vdw: 0.3238, elec: 0.2550, solv: 0.0778, hbond: 0.4022, inactive: 0.0032, affinity: 0.7222, rank: 0.8316) | Validation Loss: 7.1431 (vdw: 0.3297, elec: 0.2595, solv: 0.0967, hbond: 0.4207, inactive: 0.0031, affinity: 4.8890, rank: 1.1444) | LR: 5.0e-04
Epoch 15 - Train Loss: 2.4500 (vdw: 0.3314, elec: 0.2644, solv: 0.0712, hbond: 0.3918, inactive: 0.0029, affinity: 0.5664, rank: 0.8219) | Validation Loss: 6.1969 (vdw: 0.3304, elec: 0.2594, solv: 0.0669, hbond: 0.4187, inactive: 0.0031, affinity: 4.0563, rank: 1.0620) | LR: 5.0e-04
Epoch 16 - Train Loss: 2.3409 (vdw: 0.3354, elec: 0.2656, solv: 0.0682, hbond: 0.3984, inactive: 0.0030, affinity: 0.4755, rank: 0.7948) | Validation Loss: 6.5301 (vdw: 0.3307, elec: 0.2593, solv: 0.0725, hbond: 0.4260, inactive: 0.0037, affinity: 4.4328, rank: 1.0051) | LR: 5.0e-04
Epoch 17 - Train Loss: 2.2776 (vdw: 0.3278, elec: 0.2591, solv: 0.0638, hbond: 0.3785, inactive: 0.0029, affinity: 0.4935, rank: 0.7520) | Validation Loss: 6.4601 (vdw: 0.3297, elec: 0.2596, solv: 0.0640, hbond: 0.4179, inactive: 0.0026, affinity: 4.3979, rank: 0.9883) | LR: 5.0e-04
Epoch 18 - Train Loss: 2.9490 (vdw: 0.3261, elec: 0.2559, solv: 0.0635, hbond: 0.3817, inactive: 0.0024, affinity: 0.9300, rank: 0.9894) | Validation Loss: 8.6965 (vdw: 0.3297, elec: 0.2599, solv: 0.0661, hbond: 0.4170, inactive: 0.0024, affinity: 6.3103, rank: 1.3112) | LR: 2.5e-04
Epoch 19 - Train Loss: 2.2494 (vdw: 0.3369, elec: 0.2645, solv: 0.0630, hbond: 0.3825, inactive: 0.0024, affinity: 0.4438, rank: 0.7563) | Validation Loss: 6.4578 (vdw: 0.3296, elec: 0.2592, solv: 0.0652, hbond: 0.4152, inactive: 0.0024, affinity: 4.4087, rank: 0.9775) | LR: 2.5e-04
Epoch 20 - Train Loss: 2.2201 (vdw: 0.3274, elec: 0.2569, solv: 0.0616, hbond: 0.3926, inactive: 0.0023, affinity: 0.4303, rank: 0.7490) | Validation Loss: 4.6658 (vdw: 0.3295, elec: 0.2591, solv: 0.0624, hbond: 0.4149, inactive: 0.0023, affinity: 2.7535, rank: 0.8440) | LR: 2.5e-04
