Epoch 1 - Train Loss: 7.4261 (vdw: 0.2771, elec: 0.2466, solv: 0.2096, hbond: 0.4473, inactive: 0.0035, affinity: 1.3517, rank: 4.8903) | Validation Loss: 2.8526 (vdw: 0.2945, elec: 0.2567, solv: 0.2151, hbond: 0.4442, inactive: 0.0042, affinity: 0.4323, rank: 1.2056) | LR: 5.0e-03
Epoch 2 - Train Loss: 2.8828 (vdw: 0.2896, elec: 0.2656, solv: 0.1823, hbond: 0.4247, inactive: 0.0046, affinity: 0.5360, rank: 1.1800) | Validation Loss: 2.4648 (vdw: 0.2898, elec: 0.2527, solv: 0.1655, hbond: 0.4701, inactive: 0.0031, affinity: 0.6769, rank: 0.6067) | LR: 5.0e-03
Epoch 3 - Train Loss: 2.4601 (vdw: 0.2987, elec: 0.2806, solv: 0.1423, hbond: 0.3857, inactive: 0.0035, affinity: 0.6669, rank: 0.6824) | Validation Loss: 2.4183 (vdw: 0.2893, elec: 0.2520, solv: 0.1145, hbond: 0.4745, inactive: 0.0043, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 4 - Train Loss: 2.4641 (vdw: 0.2905, elec: 0.2569, solv: 0.1118, hbond: 0.4357, inactive: 0.0032, affinity: 0.6868, rank: 0.6793) | Validation Loss: 2.3754 (vdw: 0.2888, elec: 0.2528, solv: 0.0998, hbond: 0.4464, inactive: 0.0040, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 5 - Train Loss: 2.4251 (vdw: 0.2928, elec: 0.2677, solv: 0.0946, hbond: 0.4197, inactive: 0.0031, affinity: 0.6679, rank: 0.6793) | Validation Loss: 2.3557 (vdw: 0.2887, elec: 0.2518, solv: 0.0898, hbond: 0.4397, inactive: 0.0020, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 6 - Train Loss: 2.3555 (vdw: 0.2760, elec: 0.2383, solv: 0.0898, hbond: 0.3952, inactive: 0.0024, affinity: 0.6745, rank: 0.6793) | Validation Loss: 2.3490 (vdw: 0.2885, elec: 0.2518, solv: 0.0835, hbond: 0.4393, inactive: 0.0022, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 7 - Train Loss: 2.3731 (vdw: 0.2802, elec: 0.2632, solv: 0.0818, hbond: 0.4042, inactive: 0.0023, affinity: 0.6620, rank: 0.6793) | Validation Loss: 2.3403 (vdw: 0.2888, elec: 0.2516, solv: 0.0792, hbond: 0.4343, inactive: 0.0027, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 8 - Train Loss: 2.3357 (vdw: 0.2830, elec: 0.2445, solv: 0.0809, hbond: 0.3789, inactive: 0.0025, affinity: 0.6666, rank: 0.6793) | Validation Loss: 2.3394 (vdw: 0.2889, elec: 0.2516, solv: 0.0750, hbond: 0.4378, inactive: 0.0025, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 9 - Train Loss: 2.4167 (vdw: 0.3006, elec: 0.2650, solv: 0.0793, hbond: 0.4076, inactive: 0.0024, affinity: 0.6826, rank: 0.6793) | Validation Loss: 2.3539 (vdw: 0.2883, elec: 0.2519, solv: 0.0888, hbond: 0.4390, inactive: 0.0023, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 10 - Train Loss: 2.4182 (vdw: 0.3030, elec: 0.2706, solv: 0.0807, hbond: 0.3870, inactive: 0.0024, affinity: 0.6953, rank: 0.6793) | Validation Loss: 2.3576 (vdw: 0.2881, elec: 0.2509, solv: 0.0732, hbond: 0.4597, inactive: 0.0021, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 11 - Train Loss: 2.3633 (vdw: 0.2903, elec: 0.2557, solv: 0.0759, hbond: 0.3914, inactive: 0.0022, affinity: 0.6685, rank: 0.6793) | Validation Loss: 2.3379 (vdw: 0.2882, elec: 0.2515, solv: 0.0723, hbond: 0.4400, inactive: 0.0023, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 12 - Train Loss: 2.3646 (vdw: 0.2961, elec: 0.2671, solv: 0.0760, hbond: 0.3677, inactive: 0.0022, affinity: 0.6475, rank: 0.7079) | Validation Loss: 2.3395 (vdw: 0.2881, elec: 0.2512, solv: 0.0756, hbond: 0.4384, inactive: 0.0025, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 13 - Train Loss: 2.3885 (vdw: 0.3027, elec: 0.2679, solv: 0.0738, hbond: 0.3664, inactive: 0.0022, affinity: 0.6962, rank: 0.6793) | Validation Loss: 2.3627 (vdw: 0.2880, elec: 0.2514, solv: 0.0782, hbond: 0.4599, inactive: 0.0016, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 14 - Train Loss: 2.3301 (vdw: 0.2958, elec: 0.2636, solv: 0.0774, hbond: 0.3632, inactive: 0.0021, affinity: 0.6488, rank: 0.6793) | Validation Loss: 2.3247 (vdw: 0.2880, elec: 0.2519, solv: 0.0694, hbond: 0.4292, inactive: 0.0026, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 15 - Train Loss: 2.3301 (vdw: 0.2787, elec: 0.2422, solv: 0.0720, hbond: 0.3890, inactive: 0.0021, affinity: 0.6668, rank: 0.6793) | Validation Loss: 2.3245 (vdw: 0.2877, elec: 0.2512, solv: 0.0657, hbond: 0.4344, inactive: 0.0019, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 16 - Train Loss: 2.3793 (vdw: 0.2872, elec: 0.2507, solv: 0.0693, hbond: 0.4250, inactive: 0.0022, affinity: 0.6657, rank: 0.6793) | Validation Loss: 2.3267 (vdw: 0.2876, elec: 0.2513, solv: 0.0664, hbond: 0.4352, inactive: 0.0025, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 17 - Train Loss: 2.3697 (vdw: 0.2922, elec: 0.2631, solv: 0.0699, hbond: 0.3729, inactive: 0.0021, affinity: 0.6901, rank: 0.6793) | Validation Loss: 2.3290 (vdw: 0.2878, elec: 0.2510, solv: 0.0666, hbond: 0.4382, inactive: 0.0016, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 18 - Train Loss: 2.3517 (vdw: 0.2863, elec: 0.2653, solv: 0.0717, hbond: 0.3641, inactive: 0.0020, affinity: 0.6830, rank: 0.6793) | Validation Loss: 2.3277 (vdw: 0.2882, elec: 0.2508, solv: 0.0667, hbond: 0.4361, inactive: 0.0022, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 19 - Train Loss: 2.2986 (vdw: 0.2817, elec: 0.2487, solv: 0.0698, hbond: 0.3735, inactive: 0.0020, affinity: 0.6436, rank: 0.6793) | Validation Loss: 2.3155 (vdw: 0.2875, elec: 0.2514, solv: 0.0660, hbond: 0.4248, inactive: 0.0021, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 20 - Train Loss: 2.3319 (vdw: 0.2883, elec: 0.2486, solv: 0.0697, hbond: 0.3621, inactive: 0.0021, affinity: 0.6818, rank: 0.6793) | Validation Loss: 2.3227 (vdw: 0.2878, elec: 0.2509, solv: 0.0675, hbond: 0.4308, inactive: 0.0019, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 21 - Train Loss: 2.3618 (vdw: 0.2976, elec: 0.2597, solv: 0.0694, hbond: 0.3902, inactive: 0.0019, affinity: 0.6636, rank: 0.6793) | Validation Loss: 2.3376 (vdw: 0.2881, elec: 0.2509, solv: 0.0669, hbond: 0.4457, inactive: 0.0023, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 22 - Train Loss: 2.3169 (vdw: 0.2840, elec: 0.2603, solv: 0.0689, hbond: 0.3893, inactive: 0.0023, affinity: 0.6329, rank: 0.6793) | Validation Loss: 2.3195 (vdw: 0.2877, elec: 0.2511, solv: 0.0698, hbond: 0.4248, inactive: 0.0025, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 23 - Train Loss: 2.3933 (vdw: 0.3045, elec: 0.2597, solv: 0.0704, hbond: 0.4233, inactive: 0.0021, affinity: 0.6541, rank: 0.6793) | Validation Loss: 2.3473 (vdw: 0.2875, elec: 0.2513, solv: 0.0801, hbond: 0.4431, inactive: 0.0015, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 24 - Train Loss: 2.4553 (vdw: 0.2874, elec: 0.2482, solv: 0.0974, hbond: 0.4125, inactive: 0.0019, affinity: 0.6660, rank: 0.7419) | Validation Loss: 2.3463 (vdw: 0.2885, elec: 0.2520, solv: 0.0842, hbond: 0.4362, inactive: 0.0018, affinity: 0.6772, rank: 0.6065) | LR: 5.0e-03
Epoch 25 - Train Loss: 2.3806 (vdw: 0.2808, elec: 0.2428, solv: 0.0816, hbond: 0.3761, inactive: 0.0020, affinity: 0.7115, rank: 0.6859) | Validation Loss: 2.3318 (vdw: 0.2885, elec: 0.2511, solv: 0.0752, hbond: 0.4313, inactive: 0.0020, affinity: 0.6772, rank: 0.6065) | LR: 2.5e-03
Epoch 26 - Train Loss: 2.3159 (vdw: 0.2727, elec: 0.2353, solv: 0.0748, hbond: 0.3467, inactive: 0.0020, affinity: 0.7052, rank: 0.6793) | Validation Loss: 2.3326 (vdw: 0.2884, elec: 0.2509, solv: 0.0718, hbond: 0.4360, inactive: 0.0018, affinity: 0.6772, rank: 0.6065) | LR: 2.5e-03
Epoch 27 - Train Loss: 2.3812 (vdw: 0.2811, elec: 0.2527, solv: 0.0735, hbond: 0.3941, inactive: 0.0018, affinity: 0.6987, rank: 0.6793) | Validation Loss: 2.3221 (vdw: 0.2880, elec: 0.2510, solv: 0.0679, hbond: 0.4295, inactive: 0.0020, affinity: 0.6772, rank: 0.6065) | LR: 2.5e-03
Epoch 28 - Train Loss: 2.4362 (vdw: 0.3049, elec: 0.2674, solv: 0.0706, hbond: 0.4496, inactive: 0.0020, affinity: 0.6624, rank: 0.6793) | Validation Loss: 2.3234 (vdw: 0.2880, elec: 0.2508, solv: 0.0681, hbond: 0.4309, inactive: 0.0019, affinity: 0.6772, rank: 0.6065) | LR: 2.5e-03
Epoch 29 - Train Loss: 2.3548 (vdw: 0.2915, elec: 0.2528, solv: 0.0697, hbond: 0.3865, inactive: 0.0020, affinity: 0.6730, rank: 0.6793) | Validation Loss: 2.3211 (vdw: 0.2879, elec: 0.2513, solv: 0.0670, hbond: 0.4291, inactive: 0.0021, affinity: 0.6772, rank: 0.6065) | LR: 2.5e-03
Epoch 30 - Train Loss: 2.3295 (vdw: 0.2733, elec: 0.2403, solv: 0.0698, hbond: 0.3629, inactive: 0.0019, affinity: 0.7020, rank: 0.6793) | Validation Loss: 2.3287 (vdw: 0.2879, elec: 0.2507, solv: 0.0669, hbond: 0.4376, inactive: 0.0019, affinity: 0.6772, rank: 0.6065) | LR: 2.5e-03
