Epoch 1 - Train Loss: 2.8557 (vdw: 0.2766, elec: 0.2398, solv: 0.0758, hbond: 0.4223, inactive: 0.0018, affinity: 0.5737, rank: 1.2658) | Validation Loss: 2.3564 (vdw: 0.2834, elec: 0.2478, solv: 0.0871, hbond: 0.4214, inactive: 0.0033, affinity: 0.2402, rank: 1.0732) | LR: 1.0e-03
Epoch 2 - Train Loss: 2.6789 (vdw: 0.2910, elec: 0.2660, solv: 0.0774, hbond: 0.3902, inactive: 0.0027, affinity: 0.3883, rank: 1.2633) | Validation Loss: 2.1801 (vdw: 0.2832, elec: 0.2463, solv: 0.0604, hbond: 0.4271, inactive: 0.0017, affinity: 0.2952, rank: 0.8662) | LR: 1.0e-03
Epoch 3 - Train Loss: 2.8234 (vdw: 0.2998, elec: 0.2737, solv: 0.0529, hbond: 0.3727, inactive: 0.0018, affinity: 0.3285, rank: 1.4941) | Validation Loss: 2.1055 (vdw: 0.2817, elec: 0.2457, solv: 0.0467, hbond: 0.4135, inactive: 0.0024, affinity: 0.5235, rank: 0.5919) | LR: 1.0e-03
Epoch 4 - Train Loss: 2.2635 (vdw: 0.2940, elec: 0.2585, solv: 0.0631, hbond: 0.3857, inactive: 0.0020, affinity: 0.3801, rank: 0.8802) | Validation Loss: 2.1087 (vdw: 0.2819, elec: 0.2464, solv: 0.0554, hbond: 0.4067, inactive: 0.0015, affinity: 0.4721, rank: 0.6447) | LR: 1.0e-03
Epoch 5 - Train Loss: 2.1377 (vdw: 0.2948, elec: 0.2683, solv: 0.0486, hbond: 0.3780, inactive: 0.0015, affinity: 0.3181, rank: 0.8286) | Validation Loss: 2.0950 (vdw: 0.2813, elec: 0.2456, solv: 0.0465, hbond: 0.4123, inactive: 0.0017, affinity: 0.3886, rank: 0.7191) | LR: 1.0e-03
Epoch 6 - Train Loss: 2.5291 (vdw: 0.2730, elec: 0.2356, solv: 0.0621, hbond: 0.3680, inactive: 0.0017, affinity: 0.4237, rank: 1.1650) | Validation Loss: 2.0895 (vdw: 0.2829, elec: 0.2460, solv: 0.0562, hbond: 0.4067, inactive: 0.0027, affinity: 0.3377, rank: 0.7573) | LR: 1.0e-03
Epoch 7 - Train Loss: 2.3343 (vdw: 0.2832, elec: 0.2641, solv: 0.0829, hbond: 0.4090, inactive: 0.0022, affinity: 0.3506, rank: 0.9423) | Validation Loss: 2.1743 (vdw: 0.2834, elec: 0.2478, solv: 0.0966, hbond: 0.4136, inactive: 0.0017, affinity: 0.4041, rank: 0.7272) | LR: 1.0e-03
Epoch 8 - Train Loss: 2.1629 (vdw: 0.2783, elec: 0.2410, solv: 0.0715, hbond: 0.3886, inactive: 0.0018, affinity: 0.2757, rank: 0.9061) | Validation Loss: 2.1358 (vdw: 0.2825, elec: 0.2464, solv: 0.0691, hbond: 0.4144, inactive: 0.0017, affinity: 0.3927, rank: 0.7291) | LR: 1.0e-03
Epoch 9 - Train Loss: 2.1321 (vdw: 0.2990, elec: 0.2625, solv: 0.0646, hbond: 0.3884, inactive: 0.0019, affinity: 0.2871, rank: 0.8286) | Validation Loss: 2.1735 (vdw: 0.2823, elec: 0.2461, solv: 0.0630, hbond: 0.4063, inactive: 0.0019, affinity: 0.2143, rank: 0.9595) | LR: 1.0e-03
Epoch 10 - Train Loss: 2.0808 (vdw: 0.3003, elec: 0.2646, solv: 0.0582, hbond: 0.3863, inactive: 0.0018, affinity: 0.2037, rank: 0.8659) | Validation Loss: 1.9287 (vdw: 0.2819, elec: 0.2459, solv: 0.0614, hbond: 0.4097, inactive: 0.0016, affinity: 0.3568, rank: 0.5713) | LR: 1.0e-03
Epoch 11 - Train Loss: 1.9921 (vdw: 0.2886, elec: 0.2513, solv: 0.0536, hbond: 0.3755, inactive: 0.0016, affinity: 0.2276, rank: 0.7939) | Validation Loss: 1.8326 (vdw: 0.2817, elec: 0.2458, solv: 0.0563, hbond: 0.4108, inactive: 0.0013, affinity: 0.1778, rank: 0.6589) | LR: 1.0e-03
Epoch 12 - Train Loss: 2.1261 (vdw: 0.2932, elec: 0.2661, solv: 0.0559, hbond: 0.3895, inactive: 0.0015, affinity: 0.1892, rank: 0.9305) | Validation Loss: 2.0195 (vdw: 0.2820, elec: 0.2460, solv: 0.0545, hbond: 0.4116, inactive: 0.0024, affinity: 0.2218, rank: 0.8012) | LR: 1.0e-03
Epoch 13 - Train Loss: 2.0238 (vdw: 0.3048, elec: 0.2700, solv: 0.0548, hbond: 0.3824, inactive: 0.0018, affinity: 0.1953, rank: 0.8146) | Validation Loss: 1.9059 (vdw: 0.2817, elec: 0.2467, solv: 0.0640, hbond: 0.4191, inactive: 0.0012, affinity: 0.2616, rank: 0.6316) | LR: 1.0e-03
Epoch 14 - Train Loss: 2.4983 (vdw: 0.2959, elec: 0.2645, solv: 0.0650, hbond: 0.3851, inactive: 0.0017, affinity: 0.3054, rank: 1.1808) | Validation Loss: 2.5088 (vdw: 0.2824, elec: 0.2469, solv: 0.0814, hbond: 0.4486, inactive: 0.0023, affinity: 0.1877, rank: 1.2596) | LR: 1.0e-03
Epoch 15 - Train Loss: 2.0109 (vdw: 0.2805, elec: 0.2441, solv: 0.0658, hbond: 0.4037, inactive: 0.0019, affinity: 0.2519, rank: 0.7632) | Validation Loss: 2.1694 (vdw: 0.2819, elec: 0.2456, solv: 0.0577, hbond: 0.4157, inactive: 0.0015, affinity: 0.1810, rank: 0.9860) | LR: 1.0e-03
Epoch 16 - Train Loss: 1.8999 (vdw: 0.2866, elec: 0.2523, solv: 0.0568, hbond: 0.3986, inactive: 0.0017, affinity: 0.1577, rank: 0.7463) | Validation Loss: 1.9692 (vdw: 0.2817, elec: 0.2455, solv: 0.0566, hbond: 0.4093, inactive: 0.0016, affinity: 0.1530, rank: 0.8215) | LR: 1.0e-03
Epoch 17 - Train Loss: 2.1752 (vdw: 0.2919, elec: 0.2601, solv: 0.0617, hbond: 0.3771, inactive: 0.0018, affinity: 0.2706, rank: 0.9121) | Validation Loss: 3.1223 (vdw: 0.2819, elec: 0.2478, solv: 0.0692, hbond: 0.4122, inactive: 0.0016, affinity: 0.4334, rank: 1.6762) | LR: 5.0e-04
Epoch 18 - Train Loss: 2.4673 (vdw: 0.2932, elec: 0.2708, solv: 0.0667, hbond: 0.3759, inactive: 0.0017, affinity: 0.3106, rank: 1.1484) | Validation Loss: 1.9463 (vdw: 0.2818, elec: 0.2460, solv: 0.0627, hbond: 0.4131, inactive: 0.0020, affinity: 0.1427, rank: 0.7980) | LR: 5.0e-04
