Epoch 1 - Train Loss: 1.2839 (vdw: 0.3403, elec: 0.2840, solv: 0.2989, hbond: 0.3534, inactive: 0.0073) | Validation Loss: 1.2909 (vdw: 0.3382, elec: 0.2778, solv: 0.2977, hbond: 0.3682, inactive: 0.0090) | LR: 1.0e-03
Epoch 2 - Train Loss: 1.1924 (vdw: 0.3274, elec: 0.2713, solv: 0.2772, hbond: 0.3099, inactive: 0.0066) | Validation Loss: 1.2696 (vdw: 0.3379, elec: 0.2771, solv: 0.2715, hbond: 0.3766, inactive: 0.0065) | LR: 1.0e-03
Epoch 3 - Train Loss: 1.2270 (vdw: 0.3338, elec: 0.2722, solv: 0.2470, hbond: 0.3661, inactive: 0.0079) | Validation Loss: 1.2509 (vdw: 0.3382, elec: 0.2767, solv: 0.2422, hbond: 0.3884, inactive: 0.0053) | LR: 1.0e-03
Epoch 4 - Train Loss: 1.1830 (vdw: 0.3370, elec: 0.2838, solv: 0.2241, hbond: 0.3318, inactive: 0.0063) | Validation Loss: 1.2106 (vdw: 0.3376, elec: 0.2758, solv: 0.2160, hbond: 0.3749, inactive: 0.0064) | LR: 1.0e-03
Epoch 5 - Train Loss: 1.1060 (vdw: 0.3317, elec: 0.2676, solv: 0.1947, hbond: 0.3068, inactive: 0.0053) | Validation Loss: 1.1792 (vdw: 0.3374, elec: 0.2750, solv: 0.1919, hbond: 0.3696, inactive: 0.0053) | LR: 1.0e-03
Epoch 6 - Train Loss: 1.0602 (vdw: 0.3302, elec: 0.2663, solv: 0.1525, hbond: 0.3062, inactive: 0.0050) | Validation Loss: 1.1468 (vdw: 0.3370, elec: 0.2744, solv: 0.1605, hbond: 0.3703, inactive: 0.0047) | LR: 1.0e-03
Epoch 7 - Train Loss: 1.0782 (vdw: 0.3462, elec: 0.2763, solv: 0.1436, hbond: 0.3068, inactive: 0.0053) | Validation Loss: 1.1214 (vdw: 0.3366, elec: 0.2740, solv: 0.1307, hbond: 0.3751, inactive: 0.0048) | LR: 1.0e-03
Epoch 8 - Train Loss: 1.0283 (vdw: 0.3397, elec: 0.2856, solv: 0.1217, hbond: 0.2759, inactive: 0.0054) | Validation Loss: 1.0882 (vdw: 0.3363, elec: 0.2741, solv: 0.1135, hbond: 0.3586, inactive: 0.0057) | LR: 1.0e-03
Epoch 9 - Train Loss: 1.0124 (vdw: 0.3299, elec: 0.2714, solv: 0.1055, hbond: 0.3000, inactive: 0.0055) | Validation Loss: 1.0941 (vdw: 0.3358, elec: 0.2739, solv: 0.1032, hbond: 0.3757, inactive: 0.0054) | LR: 1.0e-03
Epoch 10 - Train Loss: 0.9877 (vdw: 0.3285, elec: 0.2638, solv: 0.1012, hbond: 0.2914, inactive: 0.0028) | Validation Loss: 1.0912 (vdw: 0.3357, elec: 0.2739, solv: 0.0997, hbond: 0.3792, inactive: 0.0027) | LR: 1.0e-03
Epoch 11 - Train Loss: 1.0386 (vdw: 0.3326, elec: 0.2903, solv: 0.0982, hbond: 0.3146, inactive: 0.0028) | Validation Loss: 1.0734 (vdw: 0.3353, elec: 0.2729, solv: 0.0976, hbond: 0.3647, inactive: 0.0029) | LR: 1.0e-03
Epoch 12 - Train Loss: 0.9767 (vdw: 0.3338, elec: 0.2651, solv: 0.0959, hbond: 0.2796, inactive: 0.0021) | Validation Loss: 1.0755 (vdw: 0.3350, elec: 0.2720, solv: 0.1009, hbond: 0.3653, inactive: 0.0024) | LR: 1.0e-03
Epoch 13 - Train Loss: 0.9875 (vdw: 0.3291, elec: 0.2647, solv: 0.0949, hbond: 0.2959, inactive: 0.0028) | Validation Loss: 1.0535 (vdw: 0.3346, elec: 0.2709, solv: 0.0934, hbond: 0.3517, inactive: 0.0029) | LR: 1.0e-03
Epoch 14 - Train Loss: 0.9828 (vdw: 0.3214, elec: 0.2603, solv: 0.0887, hbond: 0.3102, inactive: 0.0023) | Validation Loss: 1.0583 (vdw: 0.3339, elec: 0.2688, solv: 0.0988, hbond: 0.3543, inactive: 0.0024) | LR: 1.0e-03
Epoch 15 - Train Loss: 0.9414 (vdw: 0.3317, elec: 0.2542, solv: 0.0933, hbond: 0.2603, inactive: 0.0019) | Validation Loss: 1.0658 (vdw: 0.3328, elec: 0.2672, solv: 0.0885, hbond: 0.3759, inactive: 0.0014) | LR: 1.0e-03
Epoch 16 - Train Loss: 1.0029 (vdw: 0.3382, elec: 0.2632, solv: 0.0877, hbond: 0.3119, inactive: 0.0018) | Validation Loss: 1.0469 (vdw: 0.3321, elec: 0.2661, solv: 0.0863, hbond: 0.3604, inactive: 0.0019) | LR: 1.0e-03
Epoch 17 - Train Loss: 0.9873 (vdw: 0.3386, elec: 0.2727, solv: 0.0869, hbond: 0.2874, inactive: 0.0018) | Validation Loss: 1.0688 (vdw: 0.3321, elec: 0.2671, solv: 0.0868, hbond: 0.3816, inactive: 0.0012) | LR: 1.0e-03
Epoch 18 - Train Loss: 0.9585 (vdw: 0.3225, elec: 0.2698, solv: 0.0851, hbond: 0.2792, inactive: 0.0019) | Validation Loss: 1.0891 (vdw: 0.3320, elec: 0.2656, solv: 0.0824, hbond: 0.4069, inactive: 0.0023) | LR: 1.0e-03
Epoch 19 - Train Loss: 0.9945 (vdw: 0.3348, elec: 0.2708, solv: 0.0761, hbond: 0.3111, inactive: 0.0016) | Validation Loss: 1.0441 (vdw: 0.3319, elec: 0.2650, solv: 0.0770, hbond: 0.3683, inactive: 0.0020) | LR: 1.0e-03
Epoch 20 - Train Loss: 0.9299 (vdw: 0.3268, elec: 0.2621, solv: 0.0728, hbond: 0.2664, inactive: 0.0018) | Validation Loss: 1.0302 (vdw: 0.3312, elec: 0.2648, solv: 0.0727, hbond: 0.3598, inactive: 0.0016) | LR: 1.0e-03
Epoch 21 - Train Loss: 1.0035 (vdw: 0.3394, elec: 0.2713, solv: 0.0705, hbond: 0.3205, inactive: 0.0019) | Validation Loss: 1.0314 (vdw: 0.3315, elec: 0.2644, solv: 0.0723, hbond: 0.3615, inactive: 0.0017) | LR: 1.0e-03
Epoch 22 - Train Loss: 0.9650 (vdw: 0.3211, elec: 0.2726, solv: 0.0744, hbond: 0.2958, inactive: 0.0012) | Validation Loss: 1.0757 (vdw: 0.3321, elec: 0.2649, solv: 0.0731, hbond: 0.4046, inactive: 0.0010) | LR: 1.0e-03
Epoch 23 - Train Loss: 1.0289 (vdw: 0.3383, elec: 0.2720, solv: 0.0852, hbond: 0.3321, inactive: 0.0013) | Validation Loss: 1.0409 (vdw: 0.3314, elec: 0.2650, solv: 0.0818, hbond: 0.3612, inactive: 0.0015) | LR: 1.0e-03
Epoch 24 - Train Loss: 0.9570 (vdw: 0.3280, elec: 0.2585, solv: 0.0710, hbond: 0.2980, inactive: 0.0016) | Validation Loss: 1.0321 (vdw: 0.3310, elec: 0.2644, solv: 0.0703, hbond: 0.3649, inactive: 0.0015) | LR: 1.0e-03
Epoch 25 - Train Loss: 0.9815 (vdw: 0.3422, elec: 0.2776, solv: 0.0676, hbond: 0.2930, inactive: 0.0010) | Validation Loss: 1.0282 (vdw: 0.3309, elec: 0.2636, solv: 0.0672, hbond: 0.3654, inactive: 0.0011) | LR: 1.0e-03
Epoch 26 - Train Loss: 0.9113 (vdw: 0.3291, elec: 0.2525, solv: 0.0677, hbond: 0.2606, inactive: 0.0014) | Validation Loss: 1.0473 (vdw: 0.3308, elec: 0.2635, solv: 0.0665, hbond: 0.3852, inactive: 0.0014) | LR: 1.0e-03
Epoch 27 - Train Loss: 0.9149 (vdw: 0.3325, elec: 0.2688, solv: 0.0664, hbond: 0.2457, inactive: 0.0014) | Validation Loss: 1.0335 (vdw: 0.3305, elec: 0.2636, solv: 0.0669, hbond: 0.3711, inactive: 0.0015) | LR: 1.0e-03
Epoch 28 - Train Loss: 0.9496 (vdw: 0.3232, elec: 0.2532, solv: 0.0682, hbond: 0.3033, inactive: 0.0017) | Validation Loss: 1.0500 (vdw: 0.3306, elec: 0.2642, solv: 0.0666, hbond: 0.3870, inactive: 0.0016) | LR: 1.0e-03
Epoch 29 - Train Loss: 0.9414 (vdw: 0.3335, elec: 0.2767, solv: 0.0696, hbond: 0.2600, inactive: 0.0015) | Validation Loss: 1.0395 (vdw: 0.3308, elec: 0.2647, solv: 0.0678, hbond: 0.3748, inactive: 0.0014) | LR: 1.0e-03
Epoch 30 - Train Loss: 0.9467 (vdw: 0.3224, elec: 0.2563, solv: 0.0645, hbond: 0.3017, inactive: 0.0017) | Validation Loss: 1.0064 (vdw: 0.3307, elec: 0.2633, solv: 0.0655, hbond: 0.3453, inactive: 0.0016) | LR: 1.0e-03
