Epoch 1 - Train Loss: 2.1078 (vdw: 0.2829, elec: 0.2562, solv: 0.0516, hbond: 0.3914, inactive: 0.0012, affinity: 0.3709, rank: 0.7535) | Validation Loss: 2.5995 (vdw: 0.2867, elec: 0.2497, solv: 0.0423, hbond: 0.4197, inactive: 0.0013, affinity: 0.6762, rank: 0.9235) | LR: 2.0e-04
Epoch 2 - Train Loss: 2.1807 (vdw: 0.2837, elec: 0.2458, solv: 0.0531, hbond: 0.3860, inactive: 0.0013, affinity: 0.3630, rank: 0.8479) | Validation Loss: 2.3337 (vdw: 0.2874, elec: 0.2503, solv: 0.0489, hbond: 0.4266, inactive: 0.0013, affinity: 0.5692, rank: 0.7500) | LR: 4.0e-04
Epoch 3 - Train Loss: 2.0802 (vdw: 0.2877, elec: 0.2590, solv: 0.0608, hbond: 0.3685, inactive: 0.0014, affinity: 0.3492, rank: 0.7536) | Validation Loss: 2.0306 (vdw: 0.2874, elec: 0.2505, solv: 0.0552, hbond: 0.4278, inactive: 0.0014, affinity: 0.3791, rank: 0.6292) | LR: 6.0e-04
Epoch 4 - Train Loss: 1.9687 (vdw: 0.3058, elec: 0.2811, solv: 0.0635, hbond: 0.3724, inactive: 0.0013, affinity: 0.2034, rank: 0.7412) | Validation Loss: 1.9992 (vdw: 0.2871, elec: 0.2500, solv: 0.0533, hbond: 0.4255, inactive: 0.0011, affinity: 0.2580, rank: 0.7242) | LR: 8.0e-04
Epoch 5 - Train Loss: 1.8743 (vdw: 0.2825, elec: 0.2471, solv: 0.0748, hbond: 0.3779, inactive: 0.0015, affinity: 0.1803, rank: 0.7103) | Validation Loss: 2.0104 (vdw: 0.2872, elec: 0.2503, solv: 0.0786, hbond: 0.4214, inactive: 0.0017, affinity: 0.3126, rank: 0.6586) | LR: 1.0e-03
Epoch 6 - Train Loss: 1.9730 (vdw: 0.2957, elec: 0.2679, solv: 0.0831, hbond: 0.3811, inactive: 0.0015, affinity: 0.1654, rank: 0.7783) | Validation Loss: 1.9992 (vdw: 0.2882, elec: 0.2514, solv: 0.0680, hbond: 0.4300, inactive: 0.0019, affinity: 0.3064, rank: 0.6532) | LR: 1.0e-03
Epoch 7 - Train Loss: 1.8806 (vdw: 0.2838, elec: 0.2455, solv: 0.0724, hbond: 0.3764, inactive: 0.0016, affinity: 0.1869, rank: 0.7138) | Validation Loss: 1.9728 (vdw: 0.2879, elec: 0.2503, solv: 0.0598, hbond: 0.4326, inactive: 0.0013, affinity: 0.3034, rank: 0.6374) | LR: 1.0e-03
Epoch 8 - Train Loss: 2.0030 (vdw: 0.2930, elec: 0.2731, solv: 0.0718, hbond: 0.3838, inactive: 0.0014, affinity: 0.2325, rank: 0.7473) | Validation Loss: 1.9918 (vdw: 0.2883, elec: 0.2504, solv: 0.0697, hbond: 0.4260, inactive: 0.0017, affinity: 0.2915, rank: 0.6644) | LR: 1.0e-03
Epoch 9 - Train Loss: 2.0050 (vdw: 0.3049, elec: 0.2733, solv: 0.0781, hbond: 0.4874, inactive: 0.0016, affinity: 0.1724, rank: 0.6872) | Validation Loss: 1.9566 (vdw: 0.2888, elec: 0.2508, solv: 0.0656, hbond: 0.4376, inactive: 0.0015, affinity: 0.2516, rank: 0.6607) | LR: 1.0e-03
Epoch 10 - Train Loss: 1.8737 (vdw: 0.2891, elec: 0.2746, solv: 0.0778, hbond: 0.4357, inactive: 0.0017, affinity: 0.1276, rank: 0.6673) | Validation Loss: 1.9822 (vdw: 0.2877, elec: 0.2508, solv: 0.0657, hbond: 0.4358, inactive: 0.0015, affinity: 0.2978, rank: 0.6429) | LR: 1.0e-03
Epoch 11 - Train Loss: 1.8997 (vdw: 0.2944, elec: 0.2641, solv: 0.0836, hbond: 0.3902, inactive: 0.0016, affinity: 0.1531, rank: 0.7128) | Validation Loss: 1.9564 (vdw: 0.2899, elec: 0.2522, solv: 0.0977, hbond: 0.4414, inactive: 0.0016, affinity: 0.2930, rank: 0.5807) | LR: 1.0e-03
Epoch 12 - Train Loss: 1.9713 (vdw: 0.3111, elec: 0.2811, solv: 0.1025, hbond: 0.4356, inactive: 0.0019, affinity: 0.1469, rank: 0.6921) | Validation Loss: 2.0218 (vdw: 0.2886, elec: 0.2512, solv: 0.0914, hbond: 0.4504, inactive: 0.0024, affinity: 0.2247, rank: 0.7132) | LR: 1.0e-03
