Epoch 1 - Train Loss: 1.1050 (vdw: 0.3216, elec: 0.2682, solv: 0.1405, hbond: 0.3718, inactive: 0.0030) | Validation Loss: 1.1279 (vdw: 0.3276, elec: 0.2752, solv: 0.1234, hbond: 0.3984, inactive: 0.0034) | LR: 1.0e-03
Epoch 2 - Train Loss: 1.0466 (vdw: 0.3228, elec: 0.2709, solv: 0.1158, hbond: 0.3353, inactive: 0.0018) | Validation Loss: 0.9290 (vdw: 0.3432, elec: 0.2649, solv: 0.1058, hbond: 0.2128, inactive: 0.0023) | LR: 1.0e-03
Epoch 3 - Train Loss: 1.0289 (vdw: 0.3236, elec: 0.2521, solv: 0.0933, hbond: 0.3572, inactive: 0.0028) | Validation Loss: 1.0625 (vdw: 0.3313, elec: 0.2591, solv: 0.1180, hbond: 0.3525, inactive: 0.0015) | LR: 1.0e-03
Epoch 4 - Train Loss: 0.9121 (vdw: 0.3403, elec: 0.2755, solv: 0.0788, hbond: 0.2160, inactive: 0.0016) | Validation Loss: 0.9673 (vdw: 0.3409, elec: 0.2784, solv: 0.0783, hbond: 0.2681, inactive: 0.0016) | LR: 1.0e-03
Epoch 5 - Train Loss: 0.9932 (vdw: 0.3412, elec: 0.2762, solv: 0.0742, hbond: 0.2993, inactive: 0.0022) | Validation Loss: 1.0222 (vdw: 0.3513, elec: 0.2782, solv: 0.0734, hbond: 0.3176, inactive: 0.0016) | LR: 1.0e-03
Epoch 6 - Train Loss: 1.0033 (vdw: 0.3367, elec: 0.2744, solv: 0.0739, hbond: 0.3168, inactive: 0.0015) | Validation Loss: 0.9174 (vdw: 0.3303, elec: 0.2603, solv: 0.0844, hbond: 0.2410, inactive: 0.0013) | LR: 1.0e-03
Epoch 7 - Train Loss: 0.9617 (vdw: 0.3303, elec: 0.2555, solv: 0.0738, hbond: 0.3003, inactive: 0.0019) | Validation Loss: 0.9922 (vdw: 0.3356, elec: 0.2715, solv: 0.0714, hbond: 0.3111, inactive: 0.0026) | LR: 1.0e-03
Epoch 8 - Train Loss: 0.9333 (vdw: 0.3249, elec: 0.2637, solv: 0.0642, hbond: 0.2791, inactive: 0.0014) | Validation Loss: 0.9081 (vdw: 0.3351, elec: 0.2572, solv: 0.0640, hbond: 0.2501, inactive: 0.0017) | LR: 1.0e-03
Epoch 9 - Train Loss: 0.9907 (vdw: 0.3300, elec: 0.2663, solv: 0.0666, hbond: 0.3261, inactive: 0.0017) | Validation Loss: 1.0072 (vdw: 0.3343, elec: 0.2674, solv: 0.0809, hbond: 0.3235, inactive: 0.0011) | LR: 1.0e-03
Epoch 10 - Train Loss: 0.9360 (vdw: 0.3235, elec: 0.2512, solv: 0.0656, hbond: 0.2942, inactive: 0.0015) | Validation Loss: 0.8917 (vdw: 0.3402, elec: 0.2692, solv: 0.0652, hbond: 0.2157, inactive: 0.0014) | LR: 1.0e-03
Epoch 11 - Train Loss: 0.9316 (vdw: 0.3451, elec: 0.2812, solv: 0.0658, hbond: 0.2382, inactive: 0.0012) | Validation Loss: 0.9484 (vdw: 0.3339, elec: 0.2610, solv: 0.0651, hbond: 0.2872, inactive: 0.0012) | LR: 1.0e-03
Epoch 12 - Train Loss: 0.9833 (vdw: 0.3369, elec: 0.2755, solv: 0.0658, hbond: 0.3036, inactive: 0.0016) | Validation Loss: 0.9664 (vdw: 0.3230, elec: 0.2574, solv: 0.0640, hbond: 0.3206, inactive: 0.0014) | LR: 1.0e-03
Epoch 13 - Train Loss: 0.9789 (vdw: 0.3307, elec: 0.2611, solv: 0.0637, hbond: 0.3218, inactive: 0.0016) | Validation Loss: 0.9729 (vdw: 0.3350, elec: 0.2639, solv: 0.0623, hbond: 0.3108, inactive: 0.0010) | LR: 1.0e-03
Epoch 14 - Train Loss: 1.0009 (vdw: 0.3250, elec: 0.2701, solv: 0.0615, hbond: 0.3426, inactive: 0.0017) | Validation Loss: 0.9212 (vdw: 0.3434, elec: 0.2745, solv: 0.0636, hbond: 0.2381, inactive: 0.0017) | LR: 1.0e-03
Epoch 15 - Train Loss: 0.9342 (vdw: 0.3275, elec: 0.2575, solv: 0.0618, hbond: 0.2860, inactive: 0.0013) | Validation Loss: 0.9138 (vdw: 0.3227, elec: 0.2492, solv: 0.0599, hbond: 0.2807, inactive: 0.0012) | LR: 1.0e-03
Epoch 16 - Train Loss: 0.9486 (vdw: 0.3389, elec: 0.2663, solv: 0.0624, hbond: 0.2791, inactive: 0.0018) | Validation Loss: 0.9262 (vdw: 0.3506, elec: 0.2756, solv: 0.0642, hbond: 0.2341, inactive: 0.0017) | LR: 5.0e-04
Epoch 17 - Train Loss: 0.9738 (vdw: 0.3296, elec: 0.2594, solv: 0.0560, hbond: 0.3277, inactive: 0.0012) | Validation Loss: 1.0255 (vdw: 0.3350, elec: 0.2755, solv: 0.0564, hbond: 0.3573, inactive: 0.0012) | LR: 5.0e-04
Epoch 18 - Train Loss: 0.9404 (vdw: 0.3217, elec: 0.2526, solv: 0.0550, hbond: 0.3098, inactive: 0.0014) | Validation Loss: 0.9704 (vdw: 0.3413, elec: 0.2613, solv: 0.0594, hbond: 0.3070, inactive: 0.0014) | LR: 5.0e-04
Epoch 19 - Train Loss: 0.9553 (vdw: 0.3246, elec: 0.2684, solv: 0.0561, hbond: 0.3048, inactive: 0.0013) | Validation Loss: 0.9832 (vdw: 0.3432, elec: 0.2670, solv: 0.0579, hbond: 0.3140, inactive: 0.0012) | LR: 5.0e-04
Epoch 20 - Train Loss: 0.9411 (vdw: 0.3257, elec: 0.2606, solv: 0.0557, hbond: 0.2980, inactive: 0.0012) | Validation Loss: 0.8764 (vdw: 0.3291, elec: 0.2529, solv: 0.0562, hbond: 0.2371, inactive: 0.0010) | LR: 5.0e-04
Epoch 21 - Train Loss: 0.9381 (vdw: 0.3201, elec: 0.2566, solv: 0.0551, hbond: 0.3048, inactive: 0.0014) | Validation Loss: 1.0396 (vdw: 0.3503, elec: 0.2824, solv: 0.0573, hbond: 0.3481, inactive: 0.0015) | LR: 5.0e-04
Epoch 22 - Train Loss: 1.0067 (vdw: 0.3389, elec: 0.2666, solv: 0.0560, hbond: 0.3440, inactive: 0.0013) | Validation Loss: 0.9689 (vdw: 0.3395, elec: 0.2633, solv: 0.0554, hbond: 0.3094, inactive: 0.0013) | LR: 5.0e-04
Epoch 23 - Train Loss: 0.9122 (vdw: 0.3254, elec: 0.2590, solv: 0.0547, hbond: 0.2718, inactive: 0.0013) | Validation Loss: 0.8838 (vdw: 0.3298, elec: 0.2560, solv: 0.0534, hbond: 0.2434, inactive: 0.0012) | LR: 5.0e-04
Epoch 24 - Train Loss: 0.9393 (vdw: 0.3347, elec: 0.2674, solv: 0.0542, hbond: 0.2818, inactive: 0.0011) | Validation Loss: 0.9352 (vdw: 0.3282, elec: 0.2518, solv: 0.0543, hbond: 0.2999, inactive: 0.0010) | LR: 5.0e-04
Epoch 25 - Train Loss: 1.0207 (vdw: 0.3306, elec: 0.2722, solv: 0.0534, hbond: 0.3633, inactive: 0.0012) | Validation Loss: 0.9802 (vdw: 0.3299, elec: 0.2644, solv: 0.0554, hbond: 0.3291, inactive: 0.0014) | LR: 5.0e-04
Epoch 26 - Train Loss: 0.9447 (vdw: 0.3351, elec: 0.2584, solv: 0.0527, hbond: 0.2972, inactive: 0.0013) | Validation Loss: 0.9793 (vdw: 0.3355, elec: 0.2622, solv: 0.0545, hbond: 0.3258, inactive: 0.0014) | LR: 2.5e-04
Epoch 27 - Train Loss: 0.9259 (vdw: 0.3243, elec: 0.2524, solv: 0.0516, hbond: 0.2964, inactive: 0.0012) | Validation Loss: 0.9019 (vdw: 0.3418, elec: 0.2629, solv: 0.0536, hbond: 0.2424, inactive: 0.0013) | LR: 2.5e-04
Epoch 28 - Train Loss: 0.9294 (vdw: 0.3350, elec: 0.2690, solv: 0.0520, hbond: 0.2722, inactive: 0.0012) | Validation Loss: 1.0513 (vdw: 0.3508, elec: 0.2717, solv: 0.0526, hbond: 0.3748, inactive: 0.0013) | LR: 2.5e-04
Epoch 29 - Train Loss: 0.9666 (vdw: 0.3200, elec: 0.2494, solv: 0.0515, hbond: 0.3447, inactive: 0.0011) | Validation Loss: 0.8559 (vdw: 0.3282, elec: 0.2533, solv: 0.0517, hbond: 0.2217, inactive: 0.0010) | LR: 2.5e-04
Epoch 30 - Train Loss: 0.9645 (vdw: 0.3299, elec: 0.2602, solv: 0.0508, hbond: 0.3224, inactive: 0.0012) | Validation Loss: 0.9335 (vdw: 0.3219, elec: 0.2471, solv: 0.0526, hbond: 0.3105, inactive: 0.0014) | LR: 2.5e-04
Epoch 31 - Train Loss: 0.9700 (vdw: 0.3327, elec: 0.2800, solv: 0.0519, hbond: 0.3043, inactive: 0.0012) | Validation Loss: 0.8950 (vdw: 0.3386, elec: 0.2626, solv: 0.0517, hbond: 0.2409, inactive: 0.0012) | LR: 2.5e-04
Epoch 32 - Train Loss: 0.9297 (vdw: 0.3297, elec: 0.2578, solv: 0.0506, hbond: 0.2904, inactive: 0.0013) | Validation Loss: 0.9773 (vdw: 0.3384, elec: 0.2698, solv: 0.0528, hbond: 0.3152, inactive: 0.0011) | LR: 2.5e-04
Epoch 33 - Train Loss: 0.9606 (vdw: 0.3381, elec: 0.2748, solv: 0.0506, hbond: 0.2959, inactive: 0.0012) | Validation Loss: 0.8745 (vdw: 0.3271, elec: 0.2545, solv: 0.0515, hbond: 0.2401, inactive: 0.0012) | LR: 2.5e-04
Epoch 34 - Train Loss: 0.9843 (vdw: 0.3262, elec: 0.2542, solv: 0.0510, hbond: 0.3517, inactive: 0.0012) | Validation Loss: 0.9032 (vdw: 0.3347, elec: 0.2562, solv: 0.0519, hbond: 0.2593, inactive: 0.0012) | LR: 2.5e-04
Epoch 35 - Train Loss: 0.9334 (vdw: 0.3328, elec: 0.2586, solv: 0.0501, hbond: 0.2906, inactive: 0.0013) | Validation Loss: 1.0030 (vdw: 0.3320, elec: 0.2527, solv: 0.0496, hbond: 0.3676, inactive: 0.0012) | LR: 1.3e-04
Epoch 36 - Train Loss: 0.9012 (vdw: 0.3229, elec: 0.2513, solv: 0.0491, hbond: 0.2768, inactive: 0.0012) | Validation Loss: 0.9352 (vdw: 0.3409, elec: 0.2732, solv: 0.0511, hbond: 0.2687, inactive: 0.0013) | LR: 1.3e-04
Epoch 37 - Train Loss: 0.8982 (vdw: 0.3286, elec: 0.2563, solv: 0.0493, hbond: 0.2629, inactive: 0.0011) | Validation Loss: 0.9551 (vdw: 0.3373, elec: 0.2582, solv: 0.0509, hbond: 0.3075, inactive: 0.0012) | LR: 1.3e-04
Epoch 38 - Train Loss: 0.9151 (vdw: 0.3191, elec: 0.2437, solv: 0.0487, hbond: 0.3025, inactive: 0.0011) | Validation Loss: 0.8463 (vdw: 0.3367, elec: 0.2639, solv: 0.0498, hbond: 0.1948, inactive: 0.0011) | LR: 1.3e-04
Epoch 39 - Train Loss: 0.9448 (vdw: 0.3307, elec: 0.2667, solv: 0.0487, hbond: 0.2976, inactive: 0.0010) | Validation Loss: 0.8631 (vdw: 0.3439, elec: 0.2635, solv: 0.0502, hbond: 0.2044, inactive: 0.0011) | LR: 1.3e-04
Epoch 40 - Train Loss: 0.9492 (vdw: 0.3263, elec: 0.2562, solv: 0.0496, hbond: 0.3160, inactive: 0.0011) | Validation Loss: 0.9714 (vdw: 0.3320, elec: 0.2684, solv: 0.0509, hbond: 0.3187, inactive: 0.0013) | LR: 1.3e-04
Epoch 41 - Train Loss: 0.8819 (vdw: 0.3270, elec: 0.2611, solv: 0.0481, hbond: 0.2446, inactive: 0.0010) | Validation Loss: 0.9696 (vdw: 0.3310, elec: 0.2662, solv: 0.0500, hbond: 0.3215, inactive: 0.0010) | LR: 1.3e-04
Epoch 42 - Train Loss: 0.9158 (vdw: 0.3336, elec: 0.2718, solv: 0.0479, hbond: 0.2614, inactive: 0.0011) | Validation Loss: 0.9057 (vdw: 0.3286, elec: 0.2479, solv: 0.0509, hbond: 0.2772, inactive: 0.0011) | LR: 1.3e-04
Epoch 43 - Train Loss: 0.9176 (vdw: 0.3415, elec: 0.2757, solv: 0.0501, hbond: 0.2493, inactive: 0.0010) | Validation Loss: 0.8760 (vdw: 0.3405, elec: 0.2690, solv: 0.0499, hbond: 0.2155, inactive: 0.0011) | LR: 1.3e-04
Epoch 44 - Train Loss: 0.9217 (vdw: 0.3259, elec: 0.2571, solv: 0.0490, hbond: 0.2886, inactive: 0.0011) | Validation Loss: 0.9058 (vdw: 0.3363, elec: 0.2535, solv: 0.0501, hbond: 0.2649, inactive: 0.0010) | LR: 6.3e-05
Epoch 45 - Train Loss: 0.8909 (vdw: 0.3318, elec: 0.2671, solv: 0.0479, hbond: 0.2429, inactive: 0.0011) | Validation Loss: 0.9180 (vdw: 0.3374, elec: 0.2748, solv: 0.0493, hbond: 0.2555, inactive: 0.0011) | LR: 6.3e-05
Epoch 46 - Train Loss: 0.9079 (vdw: 0.3314, elec: 0.2585, solv: 0.0486, hbond: 0.2682, inactive: 0.0011) | Validation Loss: 0.9859 (vdw: 0.3439, elec: 0.2657, solv: 0.0494, hbond: 0.3257, inactive: 0.0012) | LR: 6.3e-05
Epoch 47 - Train Loss: 0.9051 (vdw: 0.3227, elec: 0.2566, solv: 0.0479, hbond: 0.2767, inactive: 0.0012) | Validation Loss: 1.0392 (vdw: 0.3425, elec: 0.2648, solv: 0.0498, hbond: 0.3809, inactive: 0.0012) | LR: 6.3e-05
