Epoch 1 - Train Loss: 1.1518 (vdw: 0.1611, elec: 0.2963, solv: 0.2475, hbond: 0.4119, inactive: 0.0352) | Validation Loss: 0.9917 (vdw: 0.1664, elec: 0.3071, solv: 0.1911, hbond: 0.2983, inactive: 0.0288) | LR: 1.0e-03
Epoch 2 - Train Loss: 0.9915 (vdw: 0.1425, elec: 0.2813, solv: 0.1522, hbond: 0.3961, inactive: 0.0194) | Validation Loss: 0.9092 (vdw: 0.1428, elec: 0.2756, solv: 0.1347, hbond: 0.3404, inactive: 0.0158) | LR: 1.0e-03
Epoch 3 - Train Loss: 0.9198 (vdw: 0.1472, elec: 0.2829, solv: 0.1217, hbond: 0.3557, inactive: 0.0123) | Validation Loss: 0.9411 (vdw: 0.1434, elec: 0.2748, solv: 0.1189, hbond: 0.3933, inactive: 0.0107) | LR: 1.0e-03
Epoch 4 - Train Loss: 0.9980 (vdw: 0.1434, elec: 0.2771, solv: 0.1092, hbond: 0.4600, inactive: 0.0083) | Validation Loss: 1.0656 (vdw: 0.1616, elec: 0.2966, solv: 0.1112, hbond: 0.4896, inactive: 0.0067) | LR: 1.0e-03
Epoch 5 - Train Loss: 0.9892 (vdw: 0.1437, elec: 0.2796, solv: 0.1048, hbond: 0.4525, inactive: 0.0087) | Validation Loss: 0.9857 (vdw: 0.1515, elec: 0.2809, solv: 0.0989, hbond: 0.4445, inactive: 0.0099) | LR: 1.0e-03
Epoch 6 - Train Loss: 0.9287 (vdw: 0.1626, elec: 0.2930, solv: 0.0967, hbond: 0.3706, inactive: 0.0058) | Validation Loss: 0.9685 (vdw: 0.1514, elec: 0.2800, solv: 0.0942, hbond: 0.4365, inactive: 0.0064) | LR: 1.0e-03
Epoch 7 - Train Loss: 0.8839 (vdw: 0.1368, elec: 0.2693, solv: 0.0903, hbond: 0.3815, inactive: 0.0060) | Validation Loss: 0.8353 (vdw: 0.1535, elec: 0.2768, solv: 0.0909, hbond: 0.3092, inactive: 0.0050) | LR: 1.0e-03
Epoch 8 - Train Loss: 0.8652 (vdw: 0.1552, elec: 0.2884, solv: 0.0856, hbond: 0.3311, inactive: 0.0050) | Validation Loss: 1.0164 (vdw: 0.1519, elec: 0.2820, solv: 0.0852, hbond: 0.4899, inactive: 0.0074) | LR: 1.0e-03
Epoch 9 - Train Loss: 0.9748 (vdw: 0.1520, elec: 0.2848, solv: 0.0856, hbond: 0.4481, inactive: 0.0043) | Validation Loss: 0.8394 (vdw: 0.1483, elec: 0.2794, solv: 0.0908, hbond: 0.3169, inactive: 0.0040) | LR: 1.0e-03
Epoch 10 - Train Loss: 0.9050 (vdw: 0.1566, elec: 0.2891, solv: 0.0838, hbond: 0.3705, inactive: 0.0050) | Validation Loss: 0.8111 (vdw: 0.1415, elec: 0.2676, solv: 0.0830, hbond: 0.3140, inactive: 0.0050) | LR: 1.0e-03
Epoch 11 - Train Loss: 0.9246 (vdw: 0.1627, elec: 0.2992, solv: 0.0783, hbond: 0.3796, inactive: 0.0048) | Validation Loss: 1.0177 (vdw: 0.1482, elec: 0.2783, solv: 0.0790, hbond: 0.5088, inactive: 0.0034) | LR: 1.0e-03
