Epoch 38 - Train Loss: 0.5155 (affinity: 0.0246, rank: 0.4909) | Validation Loss: 0.9245 (affinity: 0.0986, rank: 0.8259) | LR: 2.5e-06
Epoch 39 - Train Loss: 0.5130 (affinity: 0.0224, rank: 0.4906) | Validation Loss: 0.9089 (affinity: 0.0954, rank: 0.8135) | LR: 1.3e-06
Epoch 40 - Train Loss: 0.5046 (affinity: 0.0221, rank: 0.4825) | Validation Loss: 0.9024 (affinity: 0.0936, rank: 0.8088) | LR: 1.3e-06
Epoch 41 - Train Loss: 0.5278 (affinity: 0.0247, rank: 0.5031) | Validation Loss: 0.9139 (affinity: 0.0968, rank: 0.8171) | LR: 1.3e-06
Epoch 42 - Train Loss: 0.5049 (affinity: 0.0212, rank: 0.4837) | Validation Loss: 0.9037 (affinity: 0.0951, rank: 0.8086) | LR: 1.3e-06
Epoch 43 - Train Loss: 0.5163 (affinity: 0.0235, rank: 0.4928) | Validation Loss: 0.9122 (affinity: 0.0965, rank: 0.8157) | LR: 1.3e-06
Epoch 44 - Train Loss: 0.5200 (affinity: 0.0242, rank: 0.4957) | Validation Loss: 0.9247 (affinity: 0.0999, rank: 0.8249) | LR: 1.3e-06
Epoch 45 - Train Loss: 0.5153 (affinity: 0.0215, rank: 0.4939) | Validation Loss: 0.9176 (affinity: 0.0973, rank: 0.8204) | LR: 1.3e-06
Epoch 46 - Train Loss: 0.5114 (affinity: 0.0217, rank: 0.4897) | Validation Loss: 0.9219 (affinity: 0.0967, rank: 0.8252) | LR: 1.3e-06
Epoch 47 - Train Loss: 0.5102 (affinity: 0.0224, rank: 0.4878) | Validation Loss: 0.9256 (affinity: 0.0984, rank: 0.8273) | LR: 1.3e-06
Epoch 48 - Train Loss: 0.5240 (affinity: 0.0225, rank: 0.5015) | Validation Loss: 0.9198 (affinity: 0.0957, rank: 0.8241) | LR: 1.3e-06
Epoch 49 - Train Loss: 0.4995 (affinity: 0.0199, rank: 0.4796) | Validation Loss: 0.9338 (affinity: 0.0979, rank: 0.8359) | LR: 1.3e-06
