Epoch 26 - Train Loss: 3.4539 (vdw: 1.0590, elec: 1.0849, solv: 0.1065, hbond: 1.2034) | Validation Loss: 4.4091 (vdw: 1.4477, elec: 1.2094, solv: 0.1148, hbond: 1.6371) | LR: 5.0e-04
Epoch 27 - Train Loss: 3.6966 (vdw: 1.2073, elec: 1.1171, solv: 0.1086, hbond: 1.2635) | Validation Loss: 5.2970 (vdw: 1.5441, elec: 1.1945, solv: 0.1362, hbond: 2.4222) | LR: 5.0e-04
Epoch 28 - Train Loss: 4.0741 (vdw: 1.2267, elec: 1.1051, solv: 0.1113, hbond: 1.6311) | Validation Loss: 3.9579 (vdw: 1.8398, elec: 1.3724, solv: 0.1313, hbond: 0.6144) | LR: 5.0e-04
Epoch 29 - Train Loss: 3.6702 (vdw: 1.2038, elec: 1.0839, solv: 0.1082, hbond: 1.2743) | Validation Loss: 4.1987 (vdw: 1.4091, elec: 1.2791, solv: 0.1152, hbond: 1.3952) | LR: 5.0e-04
Epoch 30 - Train Loss: 3.4653 (vdw: 1.0694, elec: 1.0343, solv: 0.1032, hbond: 1.2583) | Validation Loss: 3.2540 (vdw: 1.1857, elec: 1.1814, solv: 0.1119, hbond: 0.7750) | LR: 5.0e-04
Epoch 31 - Train Loss: 3.4135 (vdw: 1.0001, elec: 1.0178, solv: 0.1023, hbond: 1.2933) | Validation Loss: 4.1114 (vdw: 1.6622, elec: 1.3842, solv: 0.1258, hbond: 0.9392) | LR: 5.0e-04
Epoch 32 - Train Loss: 3.5958 (vdw: 1.3550, elec: 1.1701, solv: 0.1084, hbond: 0.9623) | Validation Loss: 4.7566 (vdw: 1.5034, elec: 1.1952, solv: 0.1123, hbond: 1.9457) | LR: 5.0e-04
Epoch 33 - Train Loss: 3.8397 (vdw: 1.1284, elec: 1.1121, solv: 0.1091, hbond: 1.4901) | Validation Loss: 4.0016 (vdw: 1.3574, elec: 1.3200, solv: 0.1151, hbond: 1.2089) | LR: 5.0e-04
Epoch 34 - Train Loss: 3.1727 (vdw: 1.0202, elec: 1.0161, solv: 0.1063, hbond: 1.0301) | Validation Loss: 4.2464 (vdw: 1.6959, elec: 1.3554, solv: 0.1140, hbond: 1.0810) | LR: 5.0e-04
Epoch 35 - Train Loss: 3.7907 (vdw: 1.1402, elec: 1.1144, solv: 0.1040, hbond: 1.4321) | Validation Loss: 3.9550 (vdw: 1.8475, elec: 1.3853, solv: 0.1191, hbond: 0.6032) | LR: 5.0e-04
Epoch 36 - Train Loss: 3.3416 (vdw: 1.1921, elec: 1.1012, solv: 0.1062, hbond: 0.9420) | Validation Loss: 3.3756 (vdw: 1.3480, elec: 1.3327, solv: 0.1187, hbond: 0.5762) | LR: 2.5e-04
Epoch 37 - Train Loss: 3.1491 (vdw: 1.0090, elec: 1.0112, solv: 0.0985, hbond: 1.0305) | Validation Loss: 5.1338 (vdw: 1.6924, elec: 1.3806, solv: 0.1088, hbond: 1.9521) | LR: 2.5e-04
Epoch 38 - Train Loss: 4.0015 (vdw: 1.2281, elec: 1.1186, solv: 0.1033, hbond: 1.5515) | Validation Loss: 5.1027 (vdw: 1.6166, elec: 1.2236, solv: 0.1122, hbond: 2.1503) | LR: 2.5e-04
Epoch 39 - Train Loss: 3.5335 (vdw: 1.1495, elec: 1.0999, solv: 0.0993, hbond: 1.1848) | Validation Loss: 3.9279 (vdw: 1.5005, elec: 1.3535, solv: 0.1093, hbond: 0.9646) | LR: 2.5e-04
Epoch 40 - Train Loss: 3.5335 (vdw: 1.2502, elec: 1.1039, solv: 0.1017, hbond: 1.0778) | Validation Loss: 3.9903 (vdw: 1.7624, elec: 1.2498, solv: 0.1183, hbond: 0.8597) | LR: 2.5e-04
Epoch 41 - Train Loss: 3.6396 (vdw: 1.1557, elec: 1.0562, solv: 0.1043, hbond: 1.3233) | Validation Loss: 3.9746 (vdw: 1.5573, elec: 1.2832, solv: 0.1086, hbond: 1.0255) | LR: 2.5e-04
