Epoch 1 - Train Loss: 1.1249 (vdw: 0.3055, elec: 0.2607, solv: 0.2274, hbond: 0.3254, inactive: 0.0058) | Validation Loss: 1.1381 (vdw: 0.2950, elec: 0.2664, solv: 0.2084, hbond: 0.3624, inactive: 0.0059) | LR: 1.0e-03
Epoch 2 - Train Loss: 1.0596 (vdw: 0.2968, elec: 0.2705, solv: 0.1799, hbond: 0.3080, inactive: 0.0045) | Validation Loss: 1.1456 (vdw: 0.2947, elec: 0.2612, solv: 0.1711, hbond: 0.4136, inactive: 0.0052) | LR: 1.0e-03
Epoch 3 - Train Loss: 0.9773 (vdw: 0.2989, elec: 0.2684, solv: 0.1488, hbond: 0.2568, inactive: 0.0043) | Validation Loss: 1.0523 (vdw: 0.2940, elec: 0.2594, solv: 0.1354, hbond: 0.3594, inactive: 0.0041) | LR: 1.0e-03
Epoch 4 - Train Loss: 0.9710 (vdw: 0.2977, elec: 0.2610, solv: 0.1113, hbond: 0.2975, inactive: 0.0036) | Validation Loss: 1.0330 (vdw: 0.2933, elec: 0.2588, solv: 0.1063, hbond: 0.3706, inactive: 0.0042) | LR: 1.0e-03
Epoch 5 - Train Loss: 0.9193 (vdw: 0.2875, elec: 0.2680, solv: 0.0959, hbond: 0.2653, inactive: 0.0027) | Validation Loss: 1.0145 (vdw: 0.2926, elec: 0.2582, solv: 0.0953, hbond: 0.3670, inactive: 0.0015) | LR: 1.0e-03
Epoch 6 - Train Loss: 0.9541 (vdw: 0.3004, elec: 0.2717, solv: 0.0863, hbond: 0.2933, inactive: 0.0025) | Validation Loss: 0.9587 (vdw: 0.2913, elec: 0.2579, solv: 0.0786, hbond: 0.3283, inactive: 0.0027) | LR: 1.0e-03
Epoch 7 - Train Loss: 0.9372 (vdw: 0.2917, elec: 0.2555, solv: 0.0802, hbond: 0.3076, inactive: 0.0023) | Validation Loss: 1.0008 (vdw: 0.2907, elec: 0.2576, solv: 0.0756, hbond: 0.3754, inactive: 0.0015) | LR: 1.0e-03
Epoch 8 - Train Loss: 0.9699 (vdw: 0.2861, elec: 0.2630, solv: 0.0699, hbond: 0.3482, inactive: 0.0026) | Validation Loss: 0.9619 (vdw: 0.2897, elec: 0.2572, solv: 0.0708, hbond: 0.3414, inactive: 0.0029) | LR: 1.0e-03
Epoch 9 - Train Loss: 0.9027 (vdw: 0.2891, elec: 0.2622, solv: 0.0678, hbond: 0.2816, inactive: 0.0020) | Validation Loss: 0.9826 (vdw: 0.2894, elec: 0.2571, solv: 0.0666, hbond: 0.3674, inactive: 0.0022) | LR: 1.0e-03
Epoch 10 - Train Loss: 0.9325 (vdw: 0.2846, elec: 0.2512, solv: 0.0633, hbond: 0.3311, inactive: 0.0023) | Validation Loss: 0.9604 (vdw: 0.2890, elec: 0.2569, solv: 0.0640, hbond: 0.3476, inactive: 0.0029) | LR: 1.0e-03
Epoch 11 - Train Loss: 0.9061 (vdw: 0.2832, elec: 0.2511, solv: 0.0665, hbond: 0.3024, inactive: 0.0029) | Validation Loss: 0.9855 (vdw: 0.2886, elec: 0.2567, solv: 0.0609, hbond: 0.3764, inactive: 0.0029) | LR: 1.0e-03
