Epoch 1 - Train Loss: 1.1406 (vdw: 0.3335, elec: 0.2805, solv: 0.2623, hbond: 0.2578, inactive: 0.0065) | Validation Loss: 1.2748 (vdw: 0.3442, elec: 0.2819, solv: 0.2487, hbond: 0.3950, inactive: 0.0051) | LR: 1.0e-03
Epoch 2 - Train Loss: 1.0882 (vdw: 0.3193, elec: 0.2612, solv: 0.1774, hbond: 0.3248, inactive: 0.0055) | Validation Loss: 1.1458 (vdw: 0.3527, elec: 0.2704, solv: 0.1688, hbond: 0.3481, inactive: 0.0058) | LR: 1.0e-03
Epoch 3 - Train Loss: 1.0306 (vdw: 0.3259, elec: 0.2615, solv: 0.1299, hbond: 0.3105, inactive: 0.0027) | Validation Loss: 1.0929 (vdw: 0.3294, elec: 0.2671, solv: 0.1245, hbond: 0.3695, inactive: 0.0025) | LR: 1.0e-03
Epoch 4 - Train Loss: 1.0018 (vdw: 0.3354, elec: 0.2693, solv: 0.1249, hbond: 0.2693, inactive: 0.0029) | Validation Loss: 0.9954 (vdw: 0.3376, elec: 0.2670, solv: 0.1159, hbond: 0.2720, inactive: 0.0030) | LR: 1.0e-03
Epoch 5 - Train Loss: 1.0427 (vdw: 0.3322, elec: 0.2641, solv: 0.1029, hbond: 0.3402, inactive: 0.0033) | Validation Loss: 1.0317 (vdw: 0.3340, elec: 0.2779, solv: 0.0949, hbond: 0.3212, inactive: 0.0036) | LR: 1.0e-03
Epoch 6 - Train Loss: 1.0341 (vdw: 0.3266, elec: 0.2589, solv: 0.0990, hbond: 0.3471, inactive: 0.0025) | Validation Loss: 0.9941 (vdw: 0.3151, elec: 0.2570, solv: 0.0945, hbond: 0.3254, inactive: 0.0022) | LR: 1.0e-03
Epoch 7 - Train Loss: 0.9833 (vdw: 0.3222, elec: 0.2531, solv: 0.0930, hbond: 0.3124, inactive: 0.0027) | Validation Loss: 0.9734 (vdw: 0.3245, elec: 0.2486, solv: 0.1025, hbond: 0.2948, inactive: 0.0031) | LR: 1.0e-03
Epoch 8 - Train Loss: 1.0170 (vdw: 0.3283, elec: 0.2752, solv: 0.0929, hbond: 0.3171, inactive: 0.0035) | Validation Loss: 0.9467 (vdw: 0.3402, elec: 0.2716, solv: 0.0887, hbond: 0.2433, inactive: 0.0029) | LR: 1.0e-03
Epoch 9 - Train Loss: 1.0062 (vdw: 0.3169, elec: 0.2539, solv: 0.0899, hbond: 0.3427, inactive: 0.0029) | Validation Loss: 1.0057 (vdw: 0.3198, elec: 0.2645, solv: 0.0847, hbond: 0.3348, inactive: 0.0019) | LR: 1.0e-03
Epoch 10 - Train Loss: 1.0507 (vdw: 0.3399, elec: 0.2806, solv: 0.0914, hbond: 0.3369, inactive: 0.0019) | Validation Loss: 1.0456 (vdw: 0.3437, elec: 0.2701, solv: 0.0864, hbond: 0.3435, inactive: 0.0019) | LR: 1.0e-03
Epoch 11 - Train Loss: 0.9457 (vdw: 0.3210, elec: 0.2592, solv: 0.0906, hbond: 0.2732, inactive: 0.0017) | Validation Loss: 1.0115 (vdw: 0.3417, elec: 0.2710, solv: 0.0925, hbond: 0.3033, inactive: 0.0030) | LR: 1.0e-03
Epoch 12 - Train Loss: 0.9730 (vdw: 0.3282, elec: 0.2596, solv: 0.0867, hbond: 0.2961, inactive: 0.0024) | Validation Loss: 0.9766 (vdw: 0.3312, elec: 0.2750, solv: 0.0854, hbond: 0.2829, inactive: 0.0021) | LR: 1.0e-03
