Epoch 25 - Train Loss: 1.7090 (enthalpy: 1.1003, entropy: 0.0269, affinity: 0.0598, rank: 0.5220) | Validation Loss: 0.8453 (enthalpy: 0.0407, entropy: 0.0231, affinity: 0.1166, rank: 0.6648) | LR: 5.0e-05
Epoch 26 - Train Loss: 2.1044 (enthalpy: 1.5209, entropy: 0.0297, affinity: 0.0621, rank: 0.4917) | Validation Loss: 0.8811 (enthalpy: 0.0411, entropy: 0.0232, affinity: 0.1052, rank: 0.7117) | LR: 5.0e-05
Epoch 27 - Train Loss: 2.0622 (enthalpy: 1.4138, entropy: 0.0246, affinity: 0.0716, rank: 0.5521) | Validation Loss: 0.8750 (enthalpy: 0.0408, entropy: 0.0288, affinity: 0.1104, rank: 0.6949) | LR: 5.0e-05
Epoch 28 - Train Loss: 1.5168 (enthalpy: 0.8857, entropy: 0.0302, affinity: 0.0658, rank: 0.5350) | Validation Loss: 0.8341 (enthalpy: 0.0410, entropy: 0.0227, affinity: 0.1128, rank: 0.6576) | LR: 5.0e-05
Epoch 29 - Train Loss: 1.8070 (enthalpy: 1.2351, entropy: 0.0260, affinity: 0.0482, rank: 0.4976) | Validation Loss: 0.8471 (enthalpy: 0.0410, entropy: 0.0290, affinity: 0.1018, rank: 0.6753) | LR: 5.0e-05
Epoch 30 - Train Loss: 1.7938 (enthalpy: 1.2646, entropy: 0.0300, affinity: 0.0435, rank: 0.4558) | Validation Loss: 0.8309 (enthalpy: 0.0407, entropy: 0.0286, affinity: 0.1015, rank: 0.6601) | LR: 5.0e-05
Epoch 31 - Train Loss: 1.2026 (enthalpy: 0.5711, entropy: 0.0285, affinity: 0.0473, rank: 0.5557) | Validation Loss: 0.8873 (enthalpy: 0.0409, entropy: 0.0248, affinity: 0.1027, rank: 0.7190) | LR: 5.0e-05
Epoch 32 - Train Loss: 1.8283 (enthalpy: 1.2167, entropy: 0.0290, affinity: 0.0437, rank: 0.5389) | Validation Loss: 0.8823 (enthalpy: 0.0409, entropy: 0.0320, affinity: 0.0998, rank: 0.7096) | LR: 5.0e-05
Epoch 33 - Train Loss: 1.3891 (enthalpy: 0.8185, entropy: 0.0310, affinity: 0.0486, rank: 0.4911) | Validation Loss: 0.8589 (enthalpy: 0.0408, entropy: 0.0282, affinity: 0.1018, rank: 0.6881) | LR: 5.0e-05
Epoch 34 - Train Loss: 2.3207 (enthalpy: 1.7438, entropy: 0.0288, affinity: 0.0550, rank: 0.4932) | Validation Loss: 0.9166 (enthalpy: 0.0410, entropy: 0.0235, affinity: 0.1066, rank: 0.7455) | LR: 5.0e-05
