Epoch 1 - Train Loss: 1.6901 (vdw: 0.2884, elec: 0.2583, solv: 0.0809, hbond: 0.3894, inactive: 0.0017, affinity: 0.0648, rank: 0.6066) | Validation Loss: 1.9675 (vdw: 0.2826, elec: 0.2463, solv: 0.0639, hbond: 0.4116, inactive: 0.0016, affinity: 0.1480, rank: 0.8134) | LR: 5.0e-05
Epoch 2 - Train Loss: 1.7433 (vdw: 0.2885, elec: 0.2597, solv: 0.0925, hbond: 0.4198, inactive: 0.0017, affinity: 0.0591, rank: 0.6220) | Validation Loss: 1.9280 (vdw: 0.2827, elec: 0.2467, solv: 0.0651, hbond: 0.4141, inactive: 0.0018, affinity: 0.1616, rank: 0.7561) | LR: 1.0e-04
Epoch 3 - Train Loss: 1.7444 (vdw: 0.3018, elec: 0.2659, solv: 0.0944, hbond: 0.4342, inactive: 0.0020, affinity: 0.0634, rank: 0.5827) | Validation Loss: 1.9139 (vdw: 0.2826, elec: 0.2466, solv: 0.0653, hbond: 0.4135, inactive: 0.0020, affinity: 0.1487, rank: 0.7551) | LR: 1.0e-04
Epoch 4 - Train Loss: 1.6922 (vdw: 0.2813, elec: 0.2491, solv: 0.0958, hbond: 0.4277, inactive: 0.0021, affinity: 0.0582, rank: 0.5780) | Validation Loss: 1.9186 (vdw: 0.2826, elec: 0.2466, solv: 0.0640, hbond: 0.4099, inactive: 0.0018, affinity: 0.1514, rank: 0.7623) | LR: 1.0e-04
Epoch 5 - Train Loss: 1.6620 (vdw: 0.2821, elec: 0.2511, solv: 0.0860, hbond: 0.3926, inactive: 0.0020, affinity: 0.0598, rank: 0.5884) | Validation Loss: 1.9144 (vdw: 0.2826, elec: 0.2466, solv: 0.0634, hbond: 0.4134, inactive: 0.0014, affinity: 0.1466, rank: 0.7605) | LR: 1.0e-04
Epoch 6 - Train Loss: 1.7835 (vdw: 0.2967, elec: 0.2617, solv: 0.0856, hbond: 0.3963, inactive: 0.0018, affinity: 0.0831, rank: 0.6583) | Validation Loss: 1.9094 (vdw: 0.2826, elec: 0.2465, solv: 0.0635, hbond: 0.4121, inactive: 0.0018, affinity: 0.1706, rank: 0.7322) | LR: 1.0e-04
Epoch 7 - Train Loss: 1.7631 (vdw: 0.2860, elec: 0.2615, solv: 0.0899, hbond: 0.4362, inactive: 0.0022, affinity: 0.0721, rank: 0.6152) | Validation Loss: 1.8485 (vdw: 0.2826, elec: 0.2464, solv: 0.0636, hbond: 0.4089, inactive: 0.0015, affinity: 0.1694, rank: 0.6761) | LR: 1.0e-04
Epoch 8 - Train Loss: 1.7124 (vdw: 0.3004, elec: 0.2680, solv: 0.0893, hbond: 0.4182, inactive: 0.0019, affinity: 0.0724, rank: 0.5622) | Validation Loss: 1.9110 (vdw: 0.2826, elec: 0.2472, solv: 0.0645, hbond: 0.4100, inactive: 0.0017, affinity: 0.1482, rank: 0.7569) | LR: 1.0e-04
Epoch 9 - Train Loss: 1.6838 (vdw: 0.2932, elec: 0.2612, solv: 0.0880, hbond: 0.4053, inactive: 0.0020, affinity: 0.0707, rank: 0.5633) | Validation Loss: 1.8735 (vdw: 0.2826, elec: 0.2464, solv: 0.0634, hbond: 0.4089, inactive: 0.0015, affinity: 0.1614, rank: 0.7092) | LR: 1.0e-04
Epoch 10 - Train Loss: 1.7033 (vdw: 0.2965, elec: 0.2638, solv: 0.0901, hbond: 0.3801, inactive: 0.0017, affinity: 0.0736, rank: 0.5975) | Validation Loss: 1.9065 (vdw: 0.2826, elec: 0.2464, solv: 0.0647, hbond: 0.4124, inactive: 0.0016, affinity: 0.1536, rank: 0.7452) | LR: 1.0e-04
Epoch 11 - Train Loss: 1.7501 (vdw: 0.2857, elec: 0.2679, solv: 0.0881, hbond: 0.4319, inactive: 0.0020, affinity: 0.0694, rank: 0.6051) | Validation Loss: 1.8521 (vdw: 0.2827, elec: 0.2465, solv: 0.0647, hbond: 0.4099, inactive: 0.0017, affinity: 0.1476, rank: 0.6991) | LR: 1.0e-04
