Epoch 1 - Train Loss: 0.3388 (vdw: 0.3388, elec: 0.2818, solv: 0.4573, hbond: 0.6298, inactive: 0.0001) | Validation Loss: 0.3376 (vdw: 0.3376, elec: 0.2823, solv: 0.4531, hbond: 0.7347, inactive: 0.0001) | LR: 1.0e-03
Epoch 2 - Train Loss: 0.3376 (vdw: 0.3376, elec: 0.2811, solv: 0.4508, hbond: 0.7349, inactive: 0.0001) | Validation Loss: 0.3371 (vdw: 0.3371, elec: 0.2823, solv: 0.4531, hbond: 0.7347, inactive: 0.0001) | LR: 1.0e-03
Epoch 3 - Train Loss: 0.3292 (vdw: 0.3292, elec: 0.2767, solv: 0.4560, hbond: 0.7010, inactive: 0.0001) | Validation Loss: 0.3337 (vdw: 0.3337, elec: 0.2823, solv: 0.4531, hbond: 0.7347, inactive: 0.0000) | LR: 1.0e-03
Epoch 4 - Train Loss: 0.3227 (vdw: 0.3227, elec: 0.2740, solv: 0.4540, hbond: 0.6999, inactive: 0.0000) | Validation Loss: 0.3319 (vdw: 0.3319, elec: 0.2823, solv: 0.4531, hbond: 0.7347, inactive: 0.0000) | LR: 1.0e-03
Epoch 5 - Train Loss: 0.3307 (vdw: 0.3307, elec: 0.2780, solv: 0.4540, hbond: 0.5858, inactive: 0.0000) | Validation Loss: 0.3318 (vdw: 0.3318, elec: 0.2823, solv: 0.4531, hbond: 0.7347, inactive: 0.0000) | LR: 1.0e-03
Epoch 6 - Train Loss: 0.3261 (vdw: 0.3261, elec: 0.2736, solv: 0.4528, hbond: 0.6516, inactive: 0.0000) | Validation Loss: 0.3310 (vdw: 0.3310, elec: 0.2823, solv: 0.4531, hbond: 0.7347, inactive: 0.0000) | LR: 1.0e-03
Epoch 7 - Train Loss: 0.3257 (vdw: 0.3257, elec: 0.2878, solv: 0.4564, hbond: 0.6364, inactive: 0.0000) | Validation Loss: 0.3307 (vdw: 0.3307, elec: 0.2823, solv: 0.4531, hbond: 0.7347, inactive: 0.0000) | LR: 1.0e-03
Epoch 8 - Train Loss: 0.3265 (vdw: 0.3265, elec: 0.2898, solv: 0.4565, hbond: 0.7083, inactive: 0.0000) | Validation Loss: 0.3306 (vdw: 0.3306, elec: 0.2823, solv: 0.4531, hbond: 0.7347, inactive: 0.0000) | LR: 1.0e-03
Epoch 9 - Train Loss: 0.3164 (vdw: 0.3164, elec: 0.2809, solv: 0.4541, hbond: 0.7380, inactive: 0.0000) | Validation Loss: 0.3309 (vdw: 0.3309, elec: 0.2823, solv: 0.4531, hbond: 0.7347, inactive: 0.0000) | LR: 1.0e-03
Epoch 10 - Train Loss: 0.3276 (vdw: 0.3276, elec: 0.2834, solv: 0.4547, hbond: 0.7440, inactive: 0.0000) | Validation Loss: 0.3308 (vdw: 0.3308, elec: 0.2823, solv: 0.4531, hbond: 0.7347, inactive: 0.0000) | LR: 1.0e-03
