Epoch 1 - Train Loss: 1.1560 (vdw: 0.3330, elec: 0.2610, solv: 0.2300, hbond: 0.3277, inactive: 0.0043) | Validation Loss: 1.1764 (vdw: 0.3362, elec: 0.2667, solv: 0.2109, hbond: 0.3565, inactive: 0.0061) | LR: 1.0e-02
Epoch 2 - Train Loss: 1.1092 (vdw: 0.3418, elec: 0.2726, solv: 0.2023, hbond: 0.2878, inactive: 0.0048) | Validation Loss: 1.2384 (vdw: 0.3330, elec: 0.2640, solv: 0.1982, hbond: 0.4357, inactive: 0.0074) | LR: 1.0e-02
Epoch 3 - Train Loss: 1.1137 (vdw: 0.3240, elec: 0.2617, solv: 0.1962, hbond: 0.3270, inactive: 0.0048) | Validation Loss: 1.1944 (vdw: 0.3328, elec: 0.2633, solv: 0.1915, hbond: 0.4019, inactive: 0.0049) | LR: 1.0e-02
Epoch 4 - Train Loss: 1.0857 (vdw: 0.3235, elec: 0.2566, solv: 0.1909, hbond: 0.3121, inactive: 0.0026) | Validation Loss: 1.1512 (vdw: 0.3323, elec: 0.2630, solv: 0.1869, hbond: 0.3660, inactive: 0.0029) | LR: 1.0e-02
Epoch 5 - Train Loss: 1.1442 (vdw: 0.3309, elec: 0.2689, solv: 0.1806, hbond: 0.3604, inactive: 0.0034) | Validation Loss: 1.1544 (vdw: 0.3323, elec: 0.2642, solv: 0.1808, hbond: 0.3730, inactive: 0.0042) | LR: 1.0e-02
Epoch 6 - Train Loss: 1.0433 (vdw: 0.3398, elec: 0.2730, solv: 0.1794, hbond: 0.2487, inactive: 0.0024) | Validation Loss: 1.1665 (vdw: 0.3329, elec: 0.2629, solv: 0.1774, hbond: 0.3909, inactive: 0.0025) | LR: 1.0e-02
Epoch 7 - Train Loss: 1.0567 (vdw: 0.3306, elec: 0.2641, solv: 0.1751, hbond: 0.2847, inactive: 0.0023) | Validation Loss: 1.1797 (vdw: 0.3320, elec: 0.2635, solv: 0.1750, hbond: 0.4067, inactive: 0.0026) | LR: 1.0e-02
Epoch 8 - Train Loss: 1.0431 (vdw: 0.3309, elec: 0.2557, solv: 0.1771, hbond: 0.2760, inactive: 0.0034) | Validation Loss: 1.1223 (vdw: 0.3319, elec: 0.2632, solv: 0.1743, hbond: 0.3496, inactive: 0.0033) | LR: 1.0e-02
Epoch 9 - Train Loss: 1.0524 (vdw: 0.3277, elec: 0.2639, solv: 0.1721, hbond: 0.2859, inactive: 0.0029) | Validation Loss: 1.1289 (vdw: 0.3318, elec: 0.2626, solv: 0.1694, hbond: 0.3617, inactive: 0.0033) | LR: 1.0e-02
Epoch 10 - Train Loss: 1.0269 (vdw: 0.3245, elec: 0.2522, solv: 0.1706, hbond: 0.2760, inactive: 0.0036) | Validation Loss: 1.1481 (vdw: 0.3315, elec: 0.2625, solv: 0.1658, hbond: 0.3845, inactive: 0.0038) | LR: 1.0e-02
Epoch 11 - Train Loss: 1.0603 (vdw: 0.3292, elec: 0.2624, solv: 0.1639, hbond: 0.3023, inactive: 0.0026) | Validation Loss: 1.1639 (vdw: 0.3329, elec: 0.2633, solv: 0.1623, hbond: 0.4035, inactive: 0.0019) | LR: 1.0e-02
Epoch 12 - Train Loss: 1.0911 (vdw: 0.3295, elec: 0.2648, solv: 0.1652, hbond: 0.3277, inactive: 0.0040) | Validation Loss: 1.1143 (vdw: 0.3321, elec: 0.2626, solv: 0.1651, hbond: 0.3521, inactive: 0.0025) | LR: 1.0e-02
Epoch 13 - Train Loss: 1.0511 (vdw: 0.3417, elec: 0.2811, solv: 0.1628, hbond: 0.2635, inactive: 0.0020) | Validation Loss: 1.1470 (vdw: 0.3318, elec: 0.2637, solv: 0.1669, hbond: 0.3825, inactive: 0.0021) | LR: 1.0e-02
Epoch 14 - Train Loss: 1.0539 (vdw: 0.3259, elec: 0.2568, solv: 0.1616, hbond: 0.3070, inactive: 0.0027) | Validation Loss: 1.1368 (vdw: 0.3319, elec: 0.2621, solv: 0.1639, hbond: 0.3763, inactive: 0.0025) | LR: 1.0e-02
Epoch 15 - Train Loss: 1.0480 (vdw: 0.3361, elec: 0.2651, solv: 0.1567, hbond: 0.2872, inactive: 0.0030) | Validation Loss: 1.1236 (vdw: 0.3320, elec: 0.2626, solv: 0.1548, hbond: 0.3715, inactive: 0.0027) | LR: 1.0e-02
Epoch 16 - Train Loss: 1.0832 (vdw: 0.3231, elec: 0.2573, solv: 0.1528, hbond: 0.3467, inactive: 0.0033) | Validation Loss: 1.1559 (vdw: 0.3316, elec: 0.2653, solv: 0.1551, hbond: 0.4001, inactive: 0.0039) | LR: 1.0e-02
Epoch 17 - Train Loss: 1.0692 (vdw: 0.3364, elec: 0.2708, solv: 0.1540, hbond: 0.3050, inactive: 0.0030) | Validation Loss: 1.1301 (vdw: 0.3318, elec: 0.2623, solv: 0.1520, hbond: 0.3817, inactive: 0.0022) | LR: 1.0e-02
Epoch 18 - Train Loss: 1.0375 (vdw: 0.3337, elec: 0.2633, solv: 0.1550, hbond: 0.2831, inactive: 0.0025) | Validation Loss: 1.1365 (vdw: 0.3315, elec: 0.2625, solv: 0.1542, hbond: 0.3863, inactive: 0.0020) | LR: 1.0e-02
Epoch 19 - Train Loss: 1.0825 (vdw: 0.3247, elec: 0.2504, solv: 0.1521, hbond: 0.3525, inactive: 0.0029) | Validation Loss: 1.1344 (vdw: 0.3315, elec: 0.2624, solv: 0.1514, hbond: 0.3865, inactive: 0.0027) | LR: 1.0e-02
Epoch 20 - Train Loss: 1.0180 (vdw: 0.3348, elec: 0.2689, solv: 0.1519, hbond: 0.2597, inactive: 0.0027) | Validation Loss: 1.1226 (vdw: 0.3316, elec: 0.2633, solv: 0.1518, hbond: 0.3735, inactive: 0.0024) | LR: 1.0e-02
Epoch 21 - Train Loss: 1.1210 (vdw: 0.3389, elec: 0.2687, solv: 0.1485, hbond: 0.3613, inactive: 0.0036) | Validation Loss: 1.1047 (vdw: 0.3315, elec: 0.2625, solv: 0.1499, hbond: 0.3582, inactive: 0.0026) | LR: 1.0e-02
Epoch 22 - Train Loss: 1.0438 (vdw: 0.3288, elec: 0.2461, solv: 0.1532, hbond: 0.3134, inactive: 0.0023) | Validation Loss: 1.1149 (vdw: 0.3313, elec: 0.2632, solv: 0.1494, hbond: 0.3688, inactive: 0.0022) | LR: 1.0e-02
Epoch 23 - Train Loss: 1.0295 (vdw: 0.3384, elec: 0.2699, solv: 0.1480, hbond: 0.2701, inactive: 0.0031) | Validation Loss: 1.0893 (vdw: 0.3314, elec: 0.2621, solv: 0.1482, hbond: 0.3446, inactive: 0.0029) | LR: 1.0e-02
Epoch 24 - Train Loss: 1.1720 (vdw: 0.3342, elec: 0.2710, solv: 0.1471, hbond: 0.4177, inactive: 0.0021) | Validation Loss: 1.1156 (vdw: 0.3315, elec: 0.2632, solv: 0.1489, hbond: 0.3698, inactive: 0.0022) | LR: 1.0e-02
Epoch 25 - Train Loss: 0.9698 (vdw: 0.3326, elec: 0.2725, solv: 0.1459, hbond: 0.2166, inactive: 0.0022) | Validation Loss: 1.1054 (vdw: 0.3318, elec: 0.2621, solv: 0.1466, hbond: 0.3629, inactive: 0.0021) | LR: 1.0e-02
Epoch 26 - Train Loss: 1.1278 (vdw: 0.3374, elec: 0.2672, solv: 0.1447, hbond: 0.3740, inactive: 0.0045) | Validation Loss: 1.1903 (vdw: 0.3317, elec: 0.2618, solv: 0.1449, hbond: 0.4461, inactive: 0.0058) | LR: 1.0e-02
Epoch 27 - Train Loss: 1.0482 (vdw: 0.3413, elec: 0.2775, solv: 0.1462, hbond: 0.2804, inactive: 0.0028) | Validation Loss: 1.1035 (vdw: 0.3314, elec: 0.2618, solv: 0.1449, hbond: 0.3620, inactive: 0.0034) | LR: 1.0e-02
Epoch 28 - Train Loss: 1.0739 (vdw: 0.3403, elec: 0.2684, solv: 0.1471, hbond: 0.3163, inactive: 0.0018) | Validation Loss: 1.1067 (vdw: 0.3313, elec: 0.2616, solv: 0.1466, hbond: 0.3652, inactive: 0.0019) | LR: 1.0e-02
