Epoch 1 - Train Loss: 7.6896 (vdw: 1.2639, elec: 1.2056, solv: 0.9234, hbond: 1.3923, affinity: 2.2539, rank: 0.6507) | Validation Loss: 5.8968 (vdw: 1.6021, elec: 1.3999, solv: 0.5478, hbond: 1.3211, affinity: 0.3509, rank: 0.6750) | LR: 1.0e-03
Epoch 2 - Train Loss: 5.0002 (vdw: 1.3413, elec: 1.2136, solv: 0.4028, hbond: 1.1157, affinity: 0.2742, rank: 0.6527) | Validation Loss: 5.5028 (vdw: 1.6620, elec: 1.3734, solv: 0.3406, hbond: 1.1396, affinity: 0.2852, rank: 0.7020) | LR: 1.0e-03
Epoch 3 - Train Loss: 4.9554 (vdw: 1.4967, elec: 1.2826, solv: 0.2733, hbond: 1.0249, affinity: 0.2613, rank: 0.6167) | Validation Loss: 5.5412 (vdw: 1.7361, elec: 1.3742, solv: 0.2502, hbond: 1.1758, affinity: 0.2898, rank: 0.7151) | LR: 1.0e-03
Epoch 4 - Train Loss: 5.0106 (vdw: 1.2428, elec: 1.2036, solv: 0.2203, hbond: 1.3374, affinity: 0.3415, rank: 0.6650) | Validation Loss: 5.3963 (vdw: 1.5680, elec: 1.3288, solv: 0.2018, hbond: 1.2744, affinity: 0.2909, rank: 0.7325) | LR: 1.0e-03
Epoch 5 - Train Loss: 4.6318 (vdw: 1.1279, elec: 1.1964, solv: 0.2228, hbond: 1.0009, affinity: 0.4325, rank: 0.6514) | Validation Loss: 5.5239 (vdw: 1.5909, elec: 1.3143, solv: 0.2549, hbond: 1.3284, affinity: 0.3336, rank: 0.7019) | LR: 1.0e-03
Epoch 6 - Train Loss: 4.5601 (vdw: 1.2007, elec: 1.1292, solv: 0.1870, hbond: 1.1357, affinity: 0.2884, rank: 0.6191) | Validation Loss: 5.1989 (vdw: 1.6124, elec: 1.3417, solv: 0.1723, hbond: 1.0688, affinity: 0.2906, rank: 0.7131) | LR: 1.0e-03
Epoch 7 - Train Loss: 4.3901 (vdw: 1.0364, elec: 1.0662, solv: 0.1938, hbond: 1.1449, affinity: 0.2993, rank: 0.6495) | Validation Loss: 5.0557 (vdw: 1.5134, elec: 1.3267, solv: 0.2308, hbond: 1.0364, affinity: 0.2641, rank: 0.6843) | LR: 1.0e-03
Epoch 8 - Train Loss: 4.8701 (vdw: 1.4865, elec: 1.3241, solv: 0.2130, hbond: 1.0333, affinity: 0.2480, rank: 0.5652) | Validation Loss: 5.4392 (vdw: 1.5620, elec: 1.3225, solv: 0.2413, hbond: 1.3008, affinity: 0.2911, rank: 0.7215) | LR: 1.0e-03
Epoch 9 - Train Loss: 4.6767 (vdw: 1.1810, elec: 1.1414, solv: 0.1745, hbond: 1.3203, affinity: 0.2767, rank: 0.5828) | Validation Loss: 5.1247 (vdw: 1.5354, elec: 1.3119, solv: 0.1567, hbond: 1.0956, affinity: 0.2994, rank: 0.7258) | LR: 1.0e-03
Epoch 10 - Train Loss: 4.3689 (vdw: 0.9209, elec: 1.0270, solv: 0.1521, hbond: 1.4819, affinity: 0.2516, rank: 0.5354) | Validation Loss: 5.2066 (vdw: 1.5562, elec: 1.3470, solv: 0.1509, hbond: 1.1468, affinity: 0.2950, rank: 0.7106) | LR: 1.0e-03
Epoch 11 - Train Loss: 4.3456 (vdw: 1.1124, elec: 1.0886, solv: 0.1420, hbond: 1.0836, affinity: 0.3014, rank: 0.6177) | Validation Loss: 5.4409 (vdw: 1.5647, elec: 1.3141, solv: 0.1518, hbond: 1.4563, affinity: 0.2631, rank: 0.6910) | LR: 1.0e-03
