Epoch 18 - Train Loss: 2.1463 (vdw: 0.2989, elec: 0.2607, solv: 0.0776, hbond: 0.4072, inactive: 0.0022, affinity: 0.2749, rank: 0.8248) | Validation Loss: 2.1933 (vdw: 0.2894, elec: 0.2518, solv: 0.0806, hbond: 0.4515, inactive: 0.0019, affinity: 0.3788, rank: 0.7392) | LR (scaffold): 1.0e-03
Epoch 19 - Train Loss: 2.0899 (vdw: 0.2889, elec: 0.2514, solv: 0.0760, hbond: 0.3926, inactive: 0.0022, affinity: 0.2552, rank: 0.8235) | Validation Loss: 2.1029 (vdw: 0.2884, elec: 0.2514, solv: 0.0753, hbond: 0.4316, inactive: 0.0024, affinity: 0.2836, rank: 0.7703) | LR (scaffold): 1.0e-03
Epoch 20 - Train Loss: 2.0868 (vdw: 0.2942, elec: 0.2617, solv: 0.0784, hbond: 0.4162, inactive: 0.0024, affinity: 0.2182, rank: 0.8157) | Validation Loss: 2.1357 (vdw: 0.2892, elec: 0.2516, solv: 0.0802, hbond: 0.4777, inactive: 0.0035, affinity: 0.3104, rank: 0.7229) | LR (scaffold): 1.0e-03
Epoch 21 - Train Loss: 2.1040 (vdw: 0.2900, elec: 0.2540, solv: 0.0797, hbond: 0.3563, inactive: 0.0030, affinity: 0.2168, rank: 0.9042) | Validation Loss: 2.1645 (vdw: 0.2886, elec: 0.2520, solv: 0.0822, hbond: 0.4499, inactive: 0.0037, affinity: 0.3281, rank: 0.7600) | LR (scaffold): 1.0e-03
Epoch 22 - Train Loss: 2.1000 (vdw: 0.3215, elec: 0.2909, solv: 0.0846, hbond: 0.3904, inactive: 0.0032, affinity: 0.2297, rank: 0.7798) | Validation Loss: 2.1252 (vdw: 0.2883, elec: 0.2520, solv: 0.0789, hbond: 0.4646, inactive: 0.0020, affinity: 0.3597, rank: 0.6796) | LR (scaffold): 1.0e-03
Epoch 23 - Train Loss: 3.8610 (vdw: 0.2913, elec: 0.2644, solv: 0.0985, hbond: 0.4688, inactive: 0.0019, affinity: 0.5424, rank: 2.1937) | Validation Loss: 2.4215 (vdw: 0.2898, elec: 0.2518, solv: 0.1527, hbond: 0.5151, inactive: 0.0013, affinity: 0.1724, rank: 1.0383) | LR (scaffold): 1.0e-03
Epoch 24 - Train Loss: 2.7048 (vdw: 0.2928, elec: 0.2524, solv: 0.1330, hbond: 0.3985, inactive: 0.0026, affinity: 0.3598, rank: 1.2656) | Validation Loss: 2.2696 (vdw: 0.2890, elec: 0.2519, solv: 0.0992, hbond: 0.4389, inactive: 0.0026, affinity: 0.4418, rank: 0.7463) | LR (scaffold): 1.0e-03
Epoch 25 - Train Loss: 2.2751 (vdw: 0.2929, elec: 0.2657, solv: 0.1016, hbond: 0.4457, inactive: 0.0029, affinity: 0.2848, rank: 0.8814) | Validation Loss: 2.3011 (vdw: 0.2887, elec: 0.2517, solv: 0.1081, hbond: 0.4368, inactive: 0.0031, affinity: 0.3102, rank: 0.9027) | LR (scaffold): 1.0e-03
Epoch 26 - Train Loss: 2.3320 (vdw: 0.2890, elec: 0.2660, solv: 0.1010, hbond: 0.4410, inactive: 0.0029, affinity: 0.2609, rank: 0.9711) | Validation Loss: 2.1865 (vdw: 0.2893, elec: 0.2520, solv: 0.0922, hbond: 0.4473, inactive: 0.0038, affinity: 0.4257, rank: 0.6761) | LR (scaffold): 1.0e-03
Epoch 27 - Train Loss: 2.2036 (vdw: 0.2900, elec: 0.2663, solv: 0.0937, hbond: 0.4195, inactive: 0.0031, affinity: 0.2876, rank: 0.8436) | Validation Loss: 2.1741 (vdw: 0.2885, elec: 0.2514, solv: 0.0972, hbond: 0.4428, inactive: 0.0021, affinity: 0.3931, rank: 0.6991) | LR (scaffold): 1.0e-03
Epoch 28 - Train Loss: 2.2744 (vdw: 0.2882, elec: 0.2557, solv: 0.0976, hbond: 0.3978, inactive: 0.0023, affinity: 0.2549, rank: 0.9780) | Validation Loss: 2.1773 (vdw: 0.2887, elec: 0.2517, solv: 0.0973, hbond: 0.4540, inactive: 0.0025, affinity: 0.2680, rank: 0.8151) | LR (scaffold): 1.0e-03
Epoch 29 - Train Loss: 2.0909 (vdw: 0.2836, elec: 0.2506, solv: 0.0970, hbond: 0.4167, inactive: 0.0024, affinity: 0.2699, rank: 0.7706) | Validation Loss: 2.1977 (vdw: 0.2888, elec: 0.2522, solv: 0.1016, hbond: 0.4557, inactive: 0.0018, affinity: 0.3740, rank: 0.7236) | LR (scaffold): 1.0e-03
Epoch 30 - Train Loss: 2.2650 (vdw: 0.2902, elec: 0.2619, solv: 0.0961, hbond: 0.4068, inactive: 0.0022, affinity: 0.2934, rank: 0.9143) | Validation Loss: 2.1895 (vdw: 0.2895, elec: 0.2515, solv: 0.0854, hbond: 0.4526, inactive: 0.0021, affinity: 0.2193, rank: 0.8892) | LR (scaffold): 5.0e-04
Epoch 31 - Train Loss: 2.1916 (vdw: 0.2950, elec: 0.2609, solv: 0.0891, hbond: 0.4218, inactive: 0.0025, affinity: 0.2279, rank: 0.8943) | Validation Loss: 2.1730 (vdw: 0.2887, elec: 0.2515, solv: 0.0837, hbond: 0.4340, inactive: 0.0026, affinity: 0.3276, rank: 0.7848) | LR (scaffold): 5.0e-04
Epoch 32 - Train Loss: 2.1258 (vdw: 0.2774, elec: 0.2531, solv: 0.0840, hbond: 0.4117, inactive: 0.0023, affinity: 0.2359, rank: 0.8615) | Validation Loss: 2.1934 (vdw: 0.2885, elec: 0.2513, solv: 0.0859, hbond: 0.4423, inactive: 0.0028, affinity: 0.3908, rank: 0.7318) | LR (scaffold): 5.0e-04
Epoch 33 - Train Loss: 1.9884 (vdw: 0.2937, elec: 0.2598, solv: 0.0851, hbond: 0.3317, inactive: 0.0022, affinity: 0.2790, rank: 0.7369) | Validation Loss: 2.2367 (vdw: 0.2883, elec: 0.2518, solv: 0.0833, hbond: 0.4332, inactive: 0.0020, affinity: 0.2730, rank: 0.9051) | LR (scaffold): 5.0e-04
Epoch 34 - Train Loss: 2.0682 (vdw: 0.2949, elec: 0.2676, solv: 0.0851, hbond: 0.3635, inactive: 0.0022, affinity: 0.1693, rank: 0.8856) | Validation Loss: 2.1992 (vdw: 0.2883, elec: 0.2513, solv: 0.0810, hbond: 0.4350, inactive: 0.0021, affinity: 0.3122, rank: 0.8293) | LR (scaffold): 5.0e-04
Epoch 35 - Train Loss: 2.0112 (vdw: 0.2820, elec: 0.2479, solv: 0.0808, hbond: 0.4279, inactive: 0.0022, affinity: 0.2192, rank: 0.7514) | Validation Loss: 2.1898 (vdw: 0.2883, elec: 0.2514, solv: 0.0808, hbond: 0.4556, inactive: 0.0015, affinity: 0.2636, rank: 0.8486) | LR (scaffold): 5.0e-04
