Epoch 1 - Train Loss: 4.8496 (vdw: 0.2769, elec: 0.2394, solv: 0.0672, hbond: 0.4208, inactive: 0.0015, affinity: 0.9584, rank: 2.8854) | Validation Loss: 2.2982 (vdw: 0.2954, elec: 0.2608, solv: 0.1088, hbond: 0.4210, inactive: 0.0031, affinity: 0.2617, rank: 0.9473) | LR: 1.0e-03
Epoch 2 - Train Loss: 2.3102 (vdw: 0.2900, elec: 0.2659, solv: 0.0691, hbond: 0.3887, inactive: 0.0021, affinity: 0.3396, rank: 0.9548) | Validation Loss: 2.1725 (vdw: 0.2811, elec: 0.2454, solv: 0.0488, hbond: 0.4102, inactive: 0.0011, affinity: 0.2276, rank: 0.9583) | LR: 1.0e-03
Epoch 3 - Train Loss: 3.0076 (vdw: 0.2981, elec: 0.2732, solv: 0.0454, hbond: 0.3682, inactive: 0.0013, affinity: 0.3437, rank: 1.6778) | Validation Loss: 2.1032 (vdw: 0.2811, elec: 0.2452, solv: 0.0535, hbond: 0.4181, inactive: 0.0021, affinity: 0.4661, rank: 0.6371) | LR: 1.0e-03
Epoch 4 - Train Loss: 2.1719 (vdw: 0.2936, elec: 0.2580, solv: 0.0570, hbond: 0.3844, inactive: 0.0018, affinity: 0.2772, rank: 0.9000) | Validation Loss: 2.1413 (vdw: 0.2825, elec: 0.2466, solv: 0.0569, hbond: 0.4199, inactive: 0.0020, affinity: 0.3729, rank: 0.7606) | LR: 1.0e-03
Epoch 5 - Train Loss: 3.7398 (vdw: 0.2957, elec: 0.2692, solv: 0.0811, hbond: 0.3820, inactive: 0.0018, affinity: 0.5359, rank: 2.1740) | Validation Loss: 2.6084 (vdw: 0.2825, elec: 0.2512, solv: 0.1392, hbond: 0.4146, inactive: 0.0024, affinity: 0.2512, rank: 1.2673) | LR: 1.0e-03
Epoch 6 - Train Loss: 3.4892 (vdw: 0.2730, elec: 0.2379, solv: 0.1138, hbond: 0.3780, inactive: 0.0022, affinity: 0.5425, rank: 1.9418) | Validation Loss: 3.0798 (vdw: 0.2836, elec: 0.2477, solv: 0.1080, hbond: 0.4167, inactive: 0.0021, affinity: 0.4704, rank: 1.5513) | LR: 1.0e-03
Epoch 7 - Train Loss: 2.8100 (vdw: 0.2831, elec: 0.2616, solv: 0.0883, hbond: 0.4068, inactive: 0.0021, affinity: 0.3748, rank: 1.3933) | Validation Loss: 2.2089 (vdw: 0.2830, elec: 0.2465, solv: 0.0720, hbond: 0.4159, inactive: 0.0020, affinity: 0.5228, rank: 0.6668) | LR: 1.0e-03
Epoch 8 - Train Loss: 2.2551 (vdw: 0.2781, elec: 0.2404, solv: 0.0668, hbond: 0.3871, inactive: 0.0020, affinity: 0.3593, rank: 0.9214) | Validation Loss: 2.1031 (vdw: 0.2822, elec: 0.2464, solv: 0.0614, hbond: 0.4171, inactive: 0.0018, affinity: 0.4763, rank: 0.6179) | LR: 1.0e-03
Epoch 9 - Train Loss: 2.5162 (vdw: 0.2991, elec: 0.2629, solv: 0.0733, hbond: 0.3905, inactive: 0.0017, affinity: 0.3463, rank: 1.1425) | Validation Loss: 2.2096 (vdw: 0.2827, elec: 0.2466, solv: 0.0695, hbond: 0.4210, inactive: 0.0024, affinity: 0.4125, rank: 0.7750) | LR: 5.0e-04
