Epoch 1 - Train Loss: 1.0980 (vdw: 0.3431, elec: 0.2817, solv: 0.1721, hbond: 0.2954, inactive: 0.0057) | Validation Loss: 1.0693 (vdw: 0.3418, elec: 0.2788, solv: 0.1484, hbond: 0.2942, inactive: 0.0061) | LR: 1.0e-03
Epoch 2 - Train Loss: 1.0474 (vdw: 0.3287, elec: 0.2630, solv: 0.1191, hbond: 0.3323, inactive: 0.0043) | Validation Loss: 1.0045 (vdw: 0.3382, elec: 0.2576, solv: 0.1223, hbond: 0.2832, inactive: 0.0032) | LR: 1.0e-03
Epoch 3 - Train Loss: 1.0254 (vdw: 0.3347, elec: 0.2608, solv: 0.0927, hbond: 0.3332, inactive: 0.0040) | Validation Loss: 1.0405 (vdw: 0.3318, elec: 0.2641, solv: 0.0892, hbond: 0.3482, inactive: 0.0073) | LR: 1.0e-03
Epoch 4 - Train Loss: 1.0290 (vdw: 0.3295, elec: 0.2577, solv: 0.0882, hbond: 0.3509, inactive: 0.0027) | Validation Loss: 0.8937 (vdw: 0.3344, elec: 0.2637, solv: 0.0854, hbond: 0.2062, inactive: 0.0038) | LR: 1.0e-03
Epoch 5 - Train Loss: 0.9230 (vdw: 0.3155, elec: 0.2602, solv: 0.0806, hbond: 0.2645, inactive: 0.0022) | Validation Loss: 1.0714 (vdw: 0.3435, elec: 0.2714, solv: 0.0839, hbond: 0.3709, inactive: 0.0018) | LR: 1.0e-03
Epoch 6 - Train Loss: 0.9627 (vdw: 0.3296, elec: 0.2563, solv: 0.0809, hbond: 0.2931, inactive: 0.0028) | Validation Loss: 1.0720 (vdw: 0.3400, elec: 0.2617, solv: 0.0930, hbond: 0.3750, inactive: 0.0022) | LR: 1.0e-03
Epoch 7 - Train Loss: 0.9988 (vdw: 0.3246, elec: 0.2512, solv: 0.0729, hbond: 0.3475, inactive: 0.0026) | Validation Loss: 0.9812 (vdw: 0.3457, elec: 0.2682, solv: 0.0778, hbond: 0.2871, inactive: 0.0024) | LR: 1.0e-03
Epoch 8 - Train Loss: 1.0415 (vdw: 0.3362, elec: 0.2664, solv: 0.0827, hbond: 0.3538, inactive: 0.0024) | Validation Loss: 0.9522 (vdw: 0.3220, elec: 0.2521, solv: 0.0820, hbond: 0.2931, inactive: 0.0030) | LR: 1.0e-03
Epoch 9 - Train Loss: 1.0081 (vdw: 0.3326, elec: 0.2625, solv: 0.0680, hbond: 0.3430, inactive: 0.0020) | Validation Loss: 1.0152 (vdw: 0.3395, elec: 0.2623, solv: 0.0663, hbond: 0.3456, inactive: 0.0015) | LR: 1.0e-03
Epoch 10 - Train Loss: 0.9884 (vdw: 0.3374, elec: 0.2700, solv: 0.0641, hbond: 0.3150, inactive: 0.0020) | Validation Loss: 0.9454 (vdw: 0.3166, elec: 0.2424, solv: 0.0629, hbond: 0.3223, inactive: 0.0013) | LR: 5.0e-04
Epoch 11 - Train Loss: 1.0133 (vdw: 0.3296, elec: 0.2664, solv: 0.0586, hbond: 0.3569, inactive: 0.0018) | Validation Loss: 0.9980 (vdw: 0.3356, elec: 0.2813, solv: 0.0591, hbond: 0.3202, inactive: 0.0019) | LR: 5.0e-04
Epoch 12 - Train Loss: 0.9921 (vdw: 0.3244, elec: 0.2536, solv: 0.0614, hbond: 0.3506, inactive: 0.0021) | Validation Loss: 1.0563 (vdw: 0.3309, elec: 0.2525, solv: 0.0604, hbond: 0.4099, inactive: 0.0026) | LR: 5.0e-04
Epoch 13 - Train Loss: 0.9524 (vdw: 0.3262, elec: 0.2631, solv: 0.0588, hbond: 0.3026, inactive: 0.0017) | Validation Loss: 1.0590 (vdw: 0.3263, elec: 0.2545, solv: 0.0584, hbond: 0.4175, inactive: 0.0023) | LR: 5.0e-04
Epoch 14 - Train Loss: 0.9392 (vdw: 0.3267, elec: 0.2465, solv: 0.0621, hbond: 0.3019, inactive: 0.0020) | Validation Loss: 1.0148 (vdw: 0.3462, elec: 0.2763, solv: 0.0691, hbond: 0.3218, inactive: 0.0015) | LR: 5.0e-04
Epoch 15 - Train Loss: 0.9304 (vdw: 0.3365, elec: 0.2717, solv: 0.0587, hbond: 0.2622, inactive: 0.0013) | Validation Loss: 1.0505 (vdw: 0.3241, elec: 0.2522, solv: 0.0578, hbond: 0.4153, inactive: 0.0011) | LR: 5.0e-04
Epoch 16 - Train Loss: 0.9056 (vdw: 0.3213, elec: 0.2605, solv: 0.0585, hbond: 0.2641, inactive: 0.0013) | Validation Loss: 1.0869 (vdw: 0.3545, elec: 0.2818, solv: 0.0621, hbond: 0.3869, inactive: 0.0015) | LR: 2.5e-04
Epoch 17 - Train Loss: 0.9058 (vdw: 0.3262, elec: 0.2694, solv: 0.0556, hbond: 0.2532, inactive: 0.0014) | Validation Loss: 0.8543 (vdw: 0.3369, elec: 0.2592, solv: 0.0580, hbond: 0.1986, inactive: 0.0015) | LR: 2.5e-04
Epoch 18 - Train Loss: 0.9469 (vdw: 0.3164, elec: 0.2495, solv: 0.0548, hbond: 0.3248, inactive: 0.0014) | Validation Loss: 0.8725 (vdw: 0.3377, elec: 0.2713, solv: 0.0564, hbond: 0.2057, inactive: 0.0014) | LR: 2.5e-04
Epoch 19 - Train Loss: 0.9609 (vdw: 0.3181, elec: 0.2529, solv: 0.0538, hbond: 0.3345, inactive: 0.0017) | Validation Loss: 0.8625 (vdw: 0.3371, elec: 0.2731, solv: 0.0549, hbond: 0.1957, inactive: 0.0016) | LR: 2.5e-04
Epoch 20 - Train Loss: 0.9496 (vdw: 0.3291, elec: 0.2606, solv: 0.0536, hbond: 0.3046, inactive: 0.0017) | Validation Loss: 1.0278 (vdw: 0.3350, elec: 0.2605, solv: 0.0557, hbond: 0.3750, inactive: 0.0015) | LR: 2.5e-04
Epoch 21 - Train Loss: 0.9369 (vdw: 0.3319, elec: 0.2604, solv: 0.0545, hbond: 0.2883, inactive: 0.0018) | Validation Loss: 0.8411 (vdw: 0.3119, elec: 0.2449, solv: 0.0556, hbond: 0.2268, inactive: 0.0020) | LR: 2.5e-04
Epoch 22 - Train Loss: 0.9519 (vdw: 0.3309, elec: 0.2581, solv: 0.0539, hbond: 0.3072, inactive: 0.0018) | Validation Loss: 0.9868 (vdw: 0.3289, elec: 0.2601, solv: 0.0552, hbond: 0.3403, inactive: 0.0023) | LR: 2.5e-04
Epoch 23 - Train Loss: 0.9352 (vdw: 0.3162, elec: 0.2482, solv: 0.0542, hbond: 0.3153, inactive: 0.0014) | Validation Loss: 0.8739 (vdw: 0.3305, elec: 0.2584, solv: 0.0535, hbond: 0.2303, inactive: 0.0012) | LR: 2.5e-04
Epoch 24 - Train Loss: 0.9522 (vdw: 0.3296, elec: 0.2647, solv: 0.0548, hbond: 0.3017, inactive: 0.0015) | Validation Loss: 0.8894 (vdw: 0.3298, elec: 0.2672, solv: 0.0544, hbond: 0.2365, inactive: 0.0015) | LR: 2.5e-04
Epoch 25 - Train Loss: 0.8995 (vdw: 0.3329, elec: 0.2525, solv: 0.0529, hbond: 0.2598, inactive: 0.0013) | Validation Loss: 0.9405 (vdw: 0.3384, elec: 0.2513, solv: 0.0552, hbond: 0.2941, inactive: 0.0014) | LR: 2.5e-04
Epoch 26 - Train Loss: 0.8903 (vdw: 0.3212, elec: 0.2499, solv: 0.0533, hbond: 0.2646, inactive: 0.0013) | Validation Loss: 0.8871 (vdw: 0.3394, elec: 0.2574, solv: 0.0556, hbond: 0.2336, inactive: 0.0011) | LR: 2.5e-04
Epoch 27 - Train Loss: 0.9432 (vdw: 0.3327, elec: 0.2620, solv: 0.0534, hbond: 0.2937, inactive: 0.0014) | Validation Loss: 0.8732 (vdw: 0.3237, elec: 0.2588, solv: 0.0535, hbond: 0.2357, inactive: 0.0015) | LR: 1.3e-04
Epoch 28 - Train Loss: 0.9621 (vdw: 0.3213, elec: 0.2500, solv: 0.0509, hbond: 0.3384, inactive: 0.0015) | Validation Loss: 0.8968 (vdw: 0.3506, elec: 0.2787, solv: 0.0525, hbond: 0.2134, inactive: 0.0015) | LR: 1.3e-04
Epoch 29 - Train Loss: 0.9257 (vdw: 0.3249, elec: 0.2520, solv: 0.0515, hbond: 0.2958, inactive: 0.0015) | Validation Loss: 0.9242 (vdw: 0.3254, elec: 0.2468, solv: 0.0515, hbond: 0.2990, inactive: 0.0016) | LR: 1.3e-04
Epoch 30 - Train Loss: 0.8968 (vdw: 0.3259, elec: 0.2611, solv: 0.0509, hbond: 0.2577, inactive: 0.0012) | Validation Loss: 0.9625 (vdw: 0.3251, elec: 0.2501, solv: 0.0521, hbond: 0.3341, inactive: 0.0011) | LR: 1.3e-04
Epoch 31 - Train Loss: 0.9391 (vdw: 0.3306, elec: 0.2582, solv: 0.0512, hbond: 0.2976, inactive: 0.0014) | Validation Loss: 0.9441 (vdw: 0.3324, elec: 0.2692, solv: 0.0535, hbond: 0.2875, inactive: 0.0014) | LR: 1.3e-04
Epoch 32 - Train Loss: 0.9551 (vdw: 0.3283, elec: 0.2587, solv: 0.0501, hbond: 0.3167, inactive: 0.0013) | Validation Loss: 0.8780 (vdw: 0.3257, elec: 0.2521, solv: 0.0518, hbond: 0.2472, inactive: 0.0012) | LR: 1.3e-04
